crayfish.id,species,lifestyle,sex,clawside,carapace.length.mm,claw.length,maxclawstr.N,PC1.claw.size
CC34,c.carinirostris,nonburrower,m,r,31.92,21.33,9.908115,2.45E+00
CC34,c.carinirostris,nonburrower,m,l,31.92,24.07,11.758971,2.05E+00
CC35,c.carinirostris,nonburrower,m,l,26.21,17.74,9.083277,-8.39E-01
CC35,c.carinirostris,nonburrower,m,r,26.21,12.6,11.587968,-2.73E+00
CC36,c.carinirostris,nonburrower,f,r,31.26,20.51,6.095754,6.54E-01
CC36,c.carinirostris,nonburrower,f,l,31.26,20.59,11.980269,6.96E-01
CC37,c.carinirostris,nonburrower,m,l,17.69,10.07,0.452655,-3.14E+00
CC37,c.carinirostris,nonburrower,m,r,17.69,10.17,0.865074,-2.17E+00
CC38,c.carinirostris,nonburrower,f,l,36,21.67,7.101654,1.00E+00
CC38,c.carinirostris,nonburrower,f,r,36,26.35,11.427024,4.53E+00
CC39,c.carinirostris,nonburrower,f,r,16.57,9.8,0.523068,-3.43E+00
CC39,c.carinirostris,nonburrower,f,l,16.57,9.44,1.418319,-3.36E+00
CC40,c.carinirostris,nonburrower,m,r,35.9,27.41,13.821066,3.44E+00
CC40,c.carinirostris,nonburrower,m,l,35.9,28.39,15.008028,3.49E+00
CC41,c.carinirostris,nonburrower,f,r,32.98,23.2,1.086372,1.46E+00
CC41,c.carinirostris,nonburrower,f,l,32.98,22.72,10.612245,1.98E+00
CC42,c.carinirostris,nonburrower,m,l,33.65,23.83,9.515814,3.29E+00
CC42,c.carinirostris,nonburrower,m,r,33.65,24.62,16.265403,1.39E+00
CC43,c.carinirostris,nonburrower,m,l,31.16,23.35,6.548409,1.37E+00
CC43,c.carinirostris,nonburrower,m,r,31.16,23.48,10.139472,4.63E-01
CC44,c.carinirostris,nonburrower,f,l,26.7,17.05,7.966728,-2.19E-01
CC44,c.carinirostris,nonburrower,f,r,26.7,16.89,8.811684,-2.25E-01
CC45,c.carinirostris,nonburrower,m,r,28.8,18.83,8.338911,-2.83E-01
CC45,c.carinirostris,nonburrower,m,l,28.8,18.74,9.847761,8.63E-01
CC47,c.carinirostris,nonburrower,m,l,30.59,22.75,7.775607,2.36E+00
CC47,c.carinirostris,nonburrower,m,r,30.59,23.06,8.560209,6.82E-01
CC48,c.carinirostris,nonburrower,f,r,29.36,19.29,9.395106,2.07E-01
CC48,c.carinirostris,nonburrower,f,l,29.36,19.28,10.059,9.43E-01
CC49,c.carinirostris,nonburrower,m,r,29.62,22.19,8.389206,1.64E+00
CC49,c.carinirostris,nonburrower,m,l,29.62,21.57,14.032305,2.39E+00
CC51,c.carinirostris,nonburrower,m,l,34.17,24.84,7.866138,3.04E+00
CC51,c.carinirostris,nonburrower,m,r,34.17,25.7,10.390947,1.42E+00
CC52,c.carinirostris,nonburrower,m,l,,21.29,12.714576,1.10E+00
CC53,c.carinirostris,nonburrower,f,l,28.92,18.8,6.910533,-1.96E-01
CC53,c.carinirostris,nonburrower,f,r,28.92,17.53,16.718058,-5.81E-01
CC54,c.carinirostris,nonburrower,m,r,35.31,27.98,9.45546,2.77E+00
CC54,c.carinirostris,nonburrower,m,l,35.31,27.71,17.80443,3.19E+00
CC55,c.carinirostris,nonburrower,m,l,22.51,14.31,8.389206,-2.32E+00
CC55,c.carinirostris,nonburrower,m,r,22.51,14.61,9.998646,-2.27E+00
CC56,c.carinirostris,nonburrower,m,l,24.02,15,7.151949,-1.85E+00
CC57,c.carinirostris,nonburrower,f,l,18.53,10.97,1.056195,-3.29E+00
CC57,c.carinirostris,nonburrower,f,r,18.53,11.12,18.156495,-3.25E+00
CC58,c.carinirostris,nonburrower,f,l,20.83,13.31,6.789825,-2.27E+00
CC58,c.carinirostris,nonburrower,f,r,20.83,12.7,8.711094,-2.75E+00
CC59,c.carinirostris,nonburrower,m,r,20.28,11.88,1.971564,-3.08E+00
CC59,c.carinirostris,nonburrower,m,l,20.28,11.77,3.067995,-2.92E+00
CC60,c.carinirostris,nonburrower,m,l,19.71,10.43,1.60944,-3.58E+00
CC60,c.carinirostris,nonburrower,m,r,19.71,11.55,2.927169,-3.10E+00
CC61,c.carinirostris,nonburrower,m,r,21.12,12.64,2.736048,-2.68E+00
CC61,c.carinirostris,nonburrower,m,l,21.12,12.64,4.436019,-2.47E+00
CC63,c.carinirostris,nonburrower,m,l,22.31,11.04,0.251475,-3.60E+00
CC63,c.carinirostris,nonburrower,m,r,22.31,14.29,4.134249,-2.32E+00
CC65,c.carinirostris,nonburrower,f,l,33.26,16.05,1.0059,-2.18E+00
CC65,c.carinirostris,nonburrower,f,r,33.26,22.18,4.667376,4.28E-01
CC66,c.carinirostris,nonburrower,f,r,25.87,17.28,3.228939,-1.18E+00
CC66,c.carinirostris,nonburrower,f,l,25.87,16.93,13.167231,-1.02E+00
