year,lake,trap_orig,trap,species,species_hyb,sex,form,caralen,source_sheet,type,clength,ex
1990,TROUT L,19,14,OV,OV,M,1,29,1990,NA,NA,NA
1990,TROUT L,19,14,OP,OP,M,1,32,1990,NA,NA,NA
1990,TROUT L,19,14,OP,OP,M,1,26,1990,NA,NA,NA
1990,TROUT L,19,14,OP,OP,M,1,38,1990,NA,NA,NA
1990,TROUT L,19,14,OP,OP,M,2,35,1990,NA,NA,NA
1990,TROUT L,19,14,OP,OP,F,0,28,1990,NA,NA,NA
1990,TROUT L,19,14,OP,OP,F,0,29,1990,NA,NA,NA
1990,TROUT L,20,13,OP,OP,M,1,42,1990,NA,NA,NA
1990,TROUT L,20,13,OP,OP,M,1,22,1990,NA,NA,NA
1990,TROUT L,20,13,OP,OP,M,1,38,1990,NA,NA,NA
1990,TROUT L,20,13,OP,OP,M,1,38,1990,NA,NA,NA
1990,TROUT L,20,13,OP,OP,M,1,36,1990,NA,NA,NA
1990,TROUT L,20,13,OP,OP,M,1,40,1990,NA,NA,NA
1990,TROUT L,20,13,OP,OP,M,1,38,1990,NA,NA,NA
1990,TROUT L,20,13,OP,OP,M,1,42,1990,NA,NA,NA
1990,TROUT L,20,13,OP,OP,M,1,36,1990,NA,NA,NA
1990,TROUT L,21,21,OP,OP,M,1,29,1990,NA,NA,NA
1990,TROUT L,21,21,OP,OP,M,1,31,1990,NA,NA,NA
1990,TROUT L,22,22,OV,OV,M,1,48,1990,NA,NA,NA
1990,TROUT L,22,22,OP,OP,M,1,35,1990,NA,NA,NA
1990,TROUT L,24,24,OV,OV,M,1,49,1990,NA,NA,NA
1990,TROUT L,24,24,OV,OV,M,1,43,1990,NA,NA,NA
1990,TROUT L,24,24,OV,OV,M,1,49,1990,NA,NA,NA
1990,TROUT L,24,24,OV,OV,M,1,40,1990,NA,NA,NA
1990,TROUT L,24,24,OV,OV,M,1,48,1990,NA,NA,NA
1990,TROUT L,24,24,OV,OV,F,0,38,1990,NA,NA,NA
1990,TROUT L,24,24,OP,OP,M,1,39,1990,NA,NA,NA
1990,TROUT L,24,24,OP,OP,M,1,35,1990,NA,NA,NA
1990,TROUT L,24,24,OP,OP,M,1,34,1990,NA,NA,NA
1990,TROUT L,24,24,OP,OP,F,0,31,1990,NA,NA,NA
1990,TROUT L,25,24.5,OP,OP,M,1,35,1990,NA,NA,NA
1990,TROUT L,25,24.5,OP,OP,M,1,32,1990,NA,NA,NA
1990,TROUT L,25,24.5,OP,OP,M,1,31,1990,NA,NA,NA
1990,TROUT L,25,24.5,OP,OP,M,1,35,1990,NA,NA,NA
1990,TROUT L,25,24.5,OP,OP,M,1,32,1990,NA,NA,NA
1990,TROUT L,25,24.5,OP,OP,F,0,35,1990,NA,NA,NA
1990,TROUT L,25,24.5,OP,OP,F,0,29,1990,NA,NA,NA
1990,TROUT L,26,25,OV,OV,M,1,48,1990,NA,NA,NA
1990,TROUT L,26,25,OV,OV,M,1,35,1990,NA,NA,NA
1990,TROUT L,26,25,OV,OV,M,1,38,1990,NA,NA,NA
1990,TROUT L,26,25,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,26,25,OP,OP,M,1,30,1990,NA,NA,NA
1990,TROUT L,26,25,OP,OP,M,1,31,1990,NA,NA,NA
1990,TROUT L,26,25,OP,OP,M,1,27,1990,NA,NA,NA
1990,TROUT L,26,25,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,26,25,OP,OP,M,1,32,1990,NA,NA,NA
1990,TROUT L,26,25,OR,OR,M,1,43,1990,NA,NA,NA
1990,TROUT L,27,29,OP,OP,M,1,25,1990,NA,NA,NA
1990,TROUT L,27,29,OP,OP,M,1,25,1990,NA,NA,NA
1990,TROUT L,27,29,OP,OP,M,1,30,1990,NA,NA,NA
1990,TROUT L,27,29,OP,OP,M,1,35,1990,NA,NA,NA
1990,TROUT L,27,29,OP,OP,M,1,38,1990,NA,NA,NA
1990,TROUT L,27,29,OP,OP,M,1,38,1990,NA,NA,NA
1990,TROUT L,27,29,OP,OP,M,1,33,1990,NA,NA,NA
1990,TROUT L,27,29,OP,OP,M,1,29,1990,NA,NA,NA
1990,TROUT L,27,29,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,28,28,OP,OP,M,1,27,1990,NA,NA,NA
1990,TROUT L,28,28,OP,OP,M,1,31,1990,NA,NA,NA
1990,TROUT L,28,28,OP,OP,M,1,22,1990,NA,NA,NA
1990,TROUT L,28,28,OP,OP,M,1,36,1990,NA,NA,NA
1990,TROUT L,28,28,OP,OP,M,1,30,1990,NA,NA,NA
1990,TROUT L,28,28,OP,OP,M,1,34,1990,NA,NA,NA
1990,TROUT L,28,28,OP,OP,M,1,25,1990,NA,NA,NA
1990,TROUT L,28,28,OP,OP,M,1,34,1990,NA,NA,NA
1990,TROUT L,28,28,OP,OP,M,1,26,1990,NA,NA,NA
1990,TROUT L,28,28,OP,OP,M,1,26,1990,NA,NA,NA
1990,TROUT L,29,27,OV,OV,F,0,30,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,33,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,27,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,31,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,35,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,34,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,21,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,26,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,30,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,25,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,22,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,33,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,M,1,27,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,F,0,24,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,F,0,24,1990,NA,NA,NA
1990,TROUT L,29,27,OP,OP,F,0,27,1990,NA,NA,NA
1990,TROUT L,29,27,OR,OR,F,0,35,1990,NA,NA,NA
1990,TROUT L,30,57,OP,OP,M,1,40,1990,NA,NA,NA
1990,TROUT L,30,57,OP,OP,M,1,32,1990,NA,NA,NA
1990,TROUT L,30,57,OP,OP,M,1,32,1990,NA,NA,NA
1990,TROUT L,30,57,OP,OP,M,1,29,1990,NA,NA,NA
1990,TROUT L,30,57,OP,OP,M,1,26,1990,NA,NA,NA
1990,TROUT L,30,57,OP,OP,M,1,32,1990,NA,NA,NA
1990,TROUT L,30,57,OP,OP,M,1,27,1990,NA,NA,NA
1990,TROUT L,30,57,OP,OP,M,1,29,1990,NA,NA,NA
1990,TROUT L,30,57,OP,OP,M,1,30,1990,NA,NA,NA
1990,TROUT L,30,57,OP,OP,M,1,31,1990,NA,NA,NA
1990,TROUT L,31,56,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,31,56,OP,OP,M,1,3,1990,NA,NA,NA
1990,TROUT L,31,56,OP,OP,M,1,34,1990,NA,NA,NA
1990,TROUT L,31,56,OR,OR,M,1,37,1990,NA,NA,NA
1990,TROUT L,32,55,OP,OP,M,1,33,1990,NA,NA,NA
1990,TROUT L,32,55,OP,OP,M,1,33,1990,NA,NA,NA
1990,TROUT L,32,55,OP,OP,M,1,29,1990,NA,NA,NA
1990,TROUT L,32,55,OP,OP,M,1,23,1990,NA,NA,NA
1990,TROUT L,32,55,OP,OP,M,1,22,1990,NA,NA,NA
1990,TROUT L,32,55,OP,OP,M,1,30,1990,NA,NA,NA
1990,TROUT L,32,55,OP,OP,M,1,33,1990,NA,NA,NA
1990,TROUT L,32,55,OP,OP,F,0,25,1990,NA,NA,NA
1990,TROUT L,32,55,OR,OR,M,1,29,1990,NA,NA,NA
1990,TROUT L,32,55,OR,OR,M,1,30,1990,NA,NA,NA
1990,TROUT L,32,55,OR,OR,F,0,43,1990,NA,NA,NA
1990,TROUT L,33,30,OV,OV,M,1,37,1990,NA,NA,NA
1990,TROUT L,33,30,OV,OV,M,1,40,1990,NA,NA,NA
1990,TROUT L,33,30,OP,OP,M,1,31,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,24,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,32,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,30,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,24,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,26,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,27,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,27,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,23,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,29,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,29,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,24,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,26,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,26,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,29,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,26,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,28,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,29,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,26,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,23,1990,NA,NA,NA
1990,TROUT L,34,31,OP,OP,M,1,24,1990,NA,NA,NA
