lake,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM
Toolik,2010-05-07,3,.,.,.,.,.,.,.,16.1,15.90,.,.,.,.,.,.,.,.,480,.,0.812,.,.,428.4,83.3,17.1,7.66,35.6
Toolik,2010-05-07,16,.,.,.,.,.,.,.,17.5,17.20,.,.,.,.,.,.,.,.,454,.,0.846,.,.,467.9,94.9,19.2,8.40,50.1
Horn Lake,2010-06-15,0,.,.,.,0.60,.,0.33,0.11,23.30,.,.,0.80,.,.,65.30,.,1164.00,.,711,.,0.166,.,.,89.70,34.10,17.20,9.61,6.30
Toolik,2010-06-18,0,4.36,4.67,0.59,0.60,.,0.04,0.39,11.82,16.23,.,0.09,.,.,61.80,4.42,488.88,40.71,383,744,0.631,.,.,328.2,65.5,13.5,7.70,28.8
Toolik,2010-06-18,1,4.40,4.64,0.47,0.44,.,0.05,0.45,11.54,15.83,.,0.07,.,.,60.03,4.29,473.68,39.44,379,754,0.633,.,.,338.1,66.6,13.2,7.75,29.3
Toolik,2010-06-18,3,3.58,3.74,0.29,0.16,.,0.03,0.62,11.35,16.44,.,0.07,.,.,71.24,5.09,502.90,41.87,379,759,0.627,.,.,338.9,66.6,13.2,7.79,29.6
Toolik,2010-06-18,5,3.45,3.68,0.44,0.05,.,0.04,0.93,11.71,15.36,.,0.07,.,.,51.17,3.66,404.60,33.69,376,803,0.632,.,.,323.3,65.8,12.7,7.51,29.4
Toolik,2010-06-18,8,1.74,1.85,0.23,0.09,.,0.03,1.65,11.82,14.93,.,0.07,.,.,43.50,3.11,320.51,26.69,382,857,0.652,.,.,341.0,69.0,13.4,7.62,31.8
Toolik,2010-06-18,12,0.95,1.08,0.24,0.11,.,0.04,1.87,12.69,15.16,.,0.05,.,.,34.64,2.48,295.84,24.64,384,894,0.670,.,.,355.5,69.7,13.6,7.64,32.6
Toolik,2010-06-18,16,1.15,1.29,0.26,0.23,.,0.04,2.45,13.47,15.69,.,0.04,.,.,31.10,2.23,268.60,22.37,390,956,0.693,.,.,370.9,73.2,14.4,7.81,35.3
Toolik,2010-06-18,20,0.88,1.02,0.26,0.31,.,0.04,2.40,13.56,15.95,.,0.05,.,.,33.46,2.39,281.63,23.45,391,988,0.712,.,.,373.6,76.0,15.0,7.88,37.6
Toolik,2010-06-18,1,4.40,4.62,0.43,0.19,.,0.05,0.45,.,.,.,0.08,.,.,58.26,4.16,440.32,36.67,.,.,.,.,.,.,.,.,.,.
I1,2010-06-22,1,0.53,0.64,0.21,0.14,.,0.02,0.20,11.2,13.71,.,0.08,.,.,34.96,2.50,297.55,24.78,368,305,0.249,.,.,115.6,32.0,7.7,7.75,12.9
I1,2010-06-22,5,1.38,1.58,0.37,0.09,.,0.01,0.19,12.3,15.83,.,.,.,.,49.40,3.53,401.83,33.46,365,382,0.252,.,.,114.0,31.7,7.8,7.82,12.8
I1,2010-06-22,9,3.78,4.30,1.02,0.06,.,0.04,0.20,11.3,15.96,.,.,.,.,65.90,4.71,498.97,41.55,357,457,0.255,.,.,115.8,32.1,7.6,8.39,14.8
I2,2010-06-22,1,0.69,0.84,0.29,0.23,.,0.04,0.28,16.1,19.09,.,0.12,.,.,41.68,2.98,312.40,26.01,512,255,0.204,.,.,98.4,36.8,8.6,8.60,14.4
I2,2010-06-22,4,3.17,3.47,0.57,0.16,.,0.02,0.26,13.9,18.17,.,0.05,.,.,60.03,4.29,425.52,35.43,502,340,0.212,.,.,98.8,36.8,8.0,8.86,14.4
I2,2010-06-22,14,0.61,0.80,0.35,0.86,.,0.03,1.27,15.1,17.66,.,0.06,.,.,36.28,2.60,358.96,29.89,500,483,0.221,.,.,103.7,37.9,8.0,8.83,18.6
I3,2010-06-22,1,0.68,0.79,0.21,0.11,.,0.09,0.11,11.2,15.06,.,0.04,.,.,53.56,3.83,420.52,35.02,412,269,0.217,.,.,103.0,31.4,7.1,6.42,9.1
I3,2010-06-22,3,2.23,2.58,0.67,0.09,.,0.06,0.02,12.6,16.25,.,0.07,.,.,50.58,3.62,395.52,32.93,426,307,0.220,.,.,102.5,30.8,6.9,6.71,9.7
I4,2010-06-22,1,1.44,1.67,0.43,0.18,.,0.04,.,14.5,20.19,.,0.01,.,.,80.25,5.73,638.26,53.15,467,254,0.208,.,.,103.3,30.9,7.1,6.65,10.8
I4,2010-06-22,4,4.44,5.16,1.39,0.06,.,0.06,0.07,12.6,19.15,.,0.05,.,.,91.84,6.56,786.54,65.49,449,476,0.227,.,.,105.4,31.5,6.9,6.93,13.2
I4,2010-06-22,6,3.76,4.46,1.38,0.08,.,0.06,0.14,13.4,20.57,.,0.07,.,.,100.11,7.15,905.83,75.42,439,604,0.229,.,.,107.6,32.0,7.1,7.17,17.7
I5,2010-06-22,1,1.21,1.34,0.25,0.07,.,0.10,0.01,12.9,16.09,.,0.04,.,.,44.26,3.16,373.54,31.10,475,267,0.198,.,.,98.0,29.4,6.9,6.76,14.9
I5,2010-06-22,4,1.97,2.19,0.43,0.04,.,0.03,0.11,12.5,16.33,.,0.05,.,.,53.53,3.83,454.73,37.87,471,347,0.200,.,.,99.1,29.2,7.0,6.91,14.9
I5,2010-06-22,8,0.04,2.73,5.23,0.05,.,0.03,0.42,14.3,18.84,.,0.04,.,.,63.14,4.51,503.81,41.95,629,487,0.205,.,.,99.3,29.3,6.9,7.05,16.4
I6 Headwater Lake,2010-06-22,1,0.43,0.48,0.09,0.11,.,0.04,0.27,12.1,14.28,.,0.04,.,.,30.83,2.21,247.29,20.59,374,942,0.885,.,.,434.9,63.5,10.8,6.65,35.8
I6 Headwater Lake,2010-06-22,4,1.13,1.23,0.20,0.07,.,0.04,0.39,11.1,13.53,.,0.02,.,.,34.64,2.48,305.11,25.41,367,1083,0.899,.,.,446.4,65.7,11.0,6.73,38.3
I6 Headwater Lake,2010-06-22,6,3.68,4.13,0.87,0.08,.,0.03,0.08,11.7,16.61,.,0.03,.,.,69.34,4.96,559.31,46.57,369,1228,0.931,.,.,458.7,67.3,11.6,7.01,42.0
I Swamp,2010-06-23,1,0.57,0.66,0.17,0.10,.,0.05,0.56,13.2,15.34,.,0.07,.,.,29.80,2.13,242.45,20.19,424,453,0.381,.,.,193.0,37.0,7.6,6.04,17.8
I Swamp,2010-06-23,3,0.71,0.80,0.17,0.08,.,0.06,0.29,12.6,14.89,.,0.05,.,.,31.86,2.28,259.89,21.64,420,464,0.377,.,.,193.3,37.1,7.6,6.05,17.9
I6,2010-06-23,1,0.69,0.81,0.22,0.12,.,0.04,.,14.0,16.70,.,0.06,.,.,37.54,2.69,318.10,26.49,442,411,0.357,.,.,178.5,37.1,8.7,7.43,17.4
I6,2010-06-23,4,1.01,1.22,0.41,0.12,.,0.08,.,13.4,16.66,.,0.04,.,.,46.33,3.31,353.33,29.42,439,479,0.358,.,.,182.5,37.6,8.1,7.26,17.8
I6,2010-06-23,12,0.91,1.13,0.42,0.54,.,0.15,0.61,13.0,15.89,.,0.03,.,.,41.16,2.94,370.60,30.86,431,677,0.410,.,.,205.0,40.4,8.3,7.59,22.4
I7,2010-06-23,1,2.67,2.87,0.38,0.07,.,0.07,.,13.3,15.94,.,0.03,.,.,37.54,2.69,327.60,27.28,422,399,0.355,.,.,179.6,36.2,7.9,7.38,16.1
I7,2010-06-23,3,0.97,1.09,0.23,0.07,.,0.06,0.16,11.5,14.43,.,0.02,.,.,40.64,2.91,317.41,26.43,427,426,0.348,.,.,176.8,36.1,7.8,7.35,16.1
I7,2010-06-23,10,0.91,1.41,0.96,0.96,.,0.09,0.49,12.4,16.73,.,0.05,.,.,60.39,4.32,485.62,40.44,407,799,0.486,.,.,234.7,43.3,8.6,7.99,26.5
I8,2010-06-23,1,0.50,0.56,0.11,0.15,.,0.06,0.01,12.7,16.52,.,0.06,.,.,54.07,3.87,430.88,35.88,418,631,0.596,.,.,334.9,67.3,13.0,5.55,22.7
I8,2010-06-23,4,8.34,8.81,0.92,0.08,.,0.06,0.11,11.7,18.39,.,0.10,.,.,93.08,6.65,657.84,54.78,390,674,0.573,.,.,312.4,61.4,12.0,6.56,23.4
I8,2010-06-23,7,4.78,5.35,1.09,0.13,.,0.08,0.06,11.3,16.85,.,0.08,.,.,78.29,5.59,579.34,48.24,387,789,0.565,.,.,313.4,61.9,12.1,6.58,25.8
NE 14,2010-06-24,1,.,.,.,0.11,.,0.01,0.76,6.80,.,.,0.14,.,0.30,22.10,.,303.50,.,197,1642,1.793,.,.,872.10,220.30,26.60,17.11,19.60
NE 14,2010-06-24,5,.,.,.,0.09,.,0.24,0.01,6.60,.,.,0.06,.,0.18,18.30,.,235.60,.,193,1758,1.810,.,.,876.40,220.20,26.70,17.07,19.90
NE 14,2010-06-24,12,.,.,.,0.08,.,0.07,0.51,6.50,.,.,0.07,.,0.18,28.30,.,342.10,.,194,.,1.991,.,.,964.80,244.10,29.70,18.56,23.30
Toolik,2010-06-25,0,1.15,1.24,0.16,0.41,.,0.03,0.14,10.8,13.89,.,0.05,.,.,42.71,3.05,336.23,28.00,375,675,0.632,.,.,337.3,68.5,13.3,7.59,28.3
Toolik,2010-06-25,1,1.16,1.24,0.17,0.48,.,0.01,0.03,11.5,14.65,.,0.03,.,.,44.78,3.20,344.70,28.70,375,685,0.641,.,.,339.1,68.9,13.4,7.75,28.4
Toolik,2010-06-25,3,1.34,1.43,0.18,0.30,.,.,0.13,11.2,14.36,.,0.05,.,.,43.74,3.13,356.96,29.72,377,681,0.633,.,.,334.2,68.8,13.5,7.62,28.3
Toolik,2010-06-25,5,1.81,2.02,0.40,0.08,.,0.02,.,10.2,13.78,.,0.03,.,.,49.94,3.57,380.28,31.67,372,717,0.637,.,.,334.1,68.0,13.2,7.52,28.4
Toolik,2010-06-25,8,3.88,4.27,0.75,0.13,.,0.01,0.50,11.0,14.76,.,0.01,.,.,53.04,3.79,379.24,31.58,371,802,0.640,.,.,341.7,69.3,13.6,7.79,31.0
Toolik,2010-06-25,12,0.88,1.08,0.37,0.26,.,0.02,1.76,12.1,15.09,.,0.05,.,.,41.68,2.98,309.64,25.78,379,894,0.674,.,.,358.8,72.7,14.0,7.89,34.2
Toolik,2010-06-25,16,0.66,0.83,0.34,0.36,.,0.01,2.03,13.0,15.11,.,0.03,.,.,29.80,2.13,239.17,19.92,383,925,0.689,.,.,362.8,74.1,14.5,7.93,36.0
Toolik,2010-06-25,20,0.58,0.76,0.34,0.39,.,0.03,2.10,13.4,15.93,.,0.03,.,.,35.99,2.57,294.78,24.55,384,947,0.691,.,.,366.7,74.8,14.7,7.94,37.0
Toolik,2010-06-25,1,1.13,1.22,0.17,0.45,.,0.02,0.12,.,.,.,0.05,.,.,47.36,3.39,356.61,29.70,.,.,.,.,.,.,.,.,.,.
E 05,2010-06-28,0,2.03,2.30,0.52,0.66,.,0.04,0.19,13.3,18.3,.,0.08,.,.,69.11,4.94,620.59,51.67,447,130,0.101,.,.,49.5,17.4,9.4,6.72,31.0
E 05,2010-06-28,1,2.58,2.83,0.48,0.10,.,0.04,0.08,11.0,16.8,.,0.11,.,.,80.37,5.74,668.57,55.67,440,135,0.103,.,.,48.7,17.3,9.2,6.62,30.7
E 05,2010-06-28,3,3.98,4.38,0.77,0.11,.,0.05,0.02,12.0,18.4,.,0.10,.,.,90.60,6.47,764.86,63.69,444,138,0.089,.,.,49.1,17.4,9.3,6.70,30.5
E 05,2010-06-28,5,8.41,9.28,1.70,0.10,.,0.06,.,12.6,19.5,.,0.13,.,.,95.72,6.84,794.33,66.14,444,289,0.098,.,.,50.0,17.7,9.0,6.79,34.9
E 05,2010-06-28,8,2.51,2.91,0.76,0.55,.,0.08,0.70,17.3,22.0,.,0.16,.,.,66.04,4.72,581.52,48.42,444,420,0.108,.,.,51.0,17.8,9.0,6.72,40.5
E 05,2010-06-28,10,1.54,2.06,1.01,1.29,.,0.08,1.03,15.8,20.7,.,0.10,.,.,69.11,4.94,658.29,54.81,436,453,0.113,.,.,50.7,17.7,9.2,6.79,42.8
E 06,2010-06-28,0,1.44,1.66,0.43,0.45,.,0.04,0.23,14.0,19.6,.,0.12,.,.,78.32,5.60,644.92,53.70,477,128,0.096,.,.,51.1,17.5,9.8,6.11,7.5
E 06,2010-06-28,1,1.71,1.74,.,0.47,.,0.03,0.23,14.3,20.0,.,0.13,.,.,79.35,5.67,744.30,61.97,474,132,0.096,.,.,50.6,17.5,9.7,6.12,7.5
E 06,2010-06-28,2,1.38,1.58,0.38,0.30,.,0.01,0.24,13.3,18.4,.,0.11,.,.,71.16,5.09,593.18,49.39,476,134,0.096,.,.,51.4,17.5,9.8,6.18,7.5
Fog 02,2010-06-30,0,0.30,0.32,0.04,0.17,.,0.02,0.33,10.2,12.1,.,0.02,.,.,25.72,1.84,211.85,17.64,271,1416,1.392,.,.,654.7,119.8,30.4,10.26,24.8
Fog 02,2010-06-30,1,0.32,0.35,0.06,0.10,.,0.02,.,9.2,11.0,.,0.10,.,.,25.26,1.81,212.16,17.67,270,1418,1.394,.,.,652.9,119.6,30.3,10.17,24.8
Fog 02,2010-06-30,3,0.34,0.37,0.05,0.10,.,0.02,.,8.6,10.4,.,0.02,.,.,25.72,1.84,215.66,17.96,271,1417,1.392,.,.,660.8,119.7,30.3,10.18,24.7
Fog 02,2010-06-30,5,0.43,0.44,.,0.28,.,0.02,.,10.0,12.1,.,0.15,.,.,29.81,2.13,237.90,19.81,272,1446,1.396,.,.,661.3,120.8,30.5,10.06,24.6
Fog 02,2010-06-30,8,0.62,0.74,0.24,0.36,.,0.04,.,10.4,12.9,.,0.03,.,.,35.27,2.52,309.33,25.76,278,1583,1.492,.,.,712.3,129.2,33.5,11.10,31.0
Fog 02,2010-06-30,12,2.17,2.40,0.46,1.28,.,0.04,0.40,12.3,17.2,.,0.01,.,.,67.91,4.85,496.89,41.37,280,2055,1.731,.,.,813.8,145.3,38.2,13.24,58.4
Fog 02,2010-06-30,16,7.55,8.61,2.06,5.31,.,0.05,0.73,17.2,20.8,.,0.03,.,.,49.49,3.54,343.82,28.63,283,2223,1.794,.,.,837.1,148.8,39.6,14.04,70.5
Fog 04,2010-06-30,0,1.78,1.96,0.35,0.97,.,0.04,0.05,17.9,21.9,.,0.14,.,.,56.19,4.02,434.22,36.16,500,972,0.938,.,.,470.0,98.0,24.4,9.16,23.2
Fog 04,2010-06-30,1,1.82,2.03,0.40,0.93,.,0.08,0.06,18.1,22.5,.,0.10,.,.,61.64,4.41,450.21,37.49,509,970,0.935,.,.,471.1,98.8,24.3,9.19,23.1
Fog 04,2010-06-30,2,1.77,1.99,0.42,0.73,.,0.04,0.02,17.4,22.1,.,0.17,.,.,65.74,4.70,470.01,39.14,504,1155,0.934,.,.,462.1,96.9,23.6,9.01,22.9
NE 14,2010-07-02,1,.,.,.,0.18,.,0.12,0.09,7.10,.,.,0.14,.,0.11,13.00,.,187.70,.,199,1507,1.799,.,.,866.10,221.30,26.80,17.19,18.90
NE 14,2010-07-02,5,.,.,.,0.27,.,0.10,0.02,7.50,.,.,0.14,.,0.08,9.60,.,164.70,.,202,1622,1.834,.,.,882.60,223.60,26.90,17.35,19.50
NE 14,2010-07-02,12,.,.,.,0.09,.,0.05,0.02,8.30,.,.,0.03,.,0.19,24.10,.,281.50,.,209,1449,1.993,.,.,957.20,244.20,29.70,18.76,22.70
Toolik,2010-07-02,0,0.78,0.91,0.24,0.62,.,0.05,0.25,11.4,14.5,.,0.04,.,.,43.26,3.09,322.12,26.82,369,670,0.645,.,.,339.3,69.7,13.5,7.72,27.5
Toolik,2010-07-02,1,0.69,0.76,0.14,0.53,.,0.02,0.11,10.8,14.3,.,0.03,.,.,48.85,3.49,367.94,30.64,370,666,0.642,.,.,341.8,69.5,13.5,7.63,27.5
Toolik,2010-07-02,3,0.82,0.92,0.19,0.16,.,0.04,0.27,10.1,13.2,.,0.03,.,.,43.59,3.12,358.74,29.87,368,673,0.643,.,.,340.9,69.4,13.6,7.64,27.3
Toolik,2010-07-02,5,1.30,1.43,0.26,0.16,.,0.13,0.25,9.5,13.1,.,0.03,.,.,51.19,3.66,385.17,32.07,368,702,0.644,.,.,343.4,69.7,13.5,7.70,27.9
Toolik,2010-07-02,8,5.80,6.40,1.16,0.20,.,0.06,0.17,10.2,14.6,.,0.08,.,.,61.71,4.41,470.35,39.17,373,777,0.640,.,.,344.1,70.2,13.6,7.91,31.0
Toolik,2010-07-02,12,2.29,2.56,0.52,2.13,.,0.08,0.91,11.1,14.5,.,0.03,.,.,47.68,3.41,369.70,30.79,376,.,.,.,.,352.2,71.5,14.0,7.95,32.4
Toolik,2010-07-02,16,0.62,0.79,0.32,0.48,.,0.05,0.12,12.7,15.2,.,0.03,.,.,35.40,2.53,294.51,24.52,377,883,0.679,.,.,355.5,72.5,14.3,7.87,35.0
Toolik,2010-07-02,20,0.52,0.69,0.32,0.74,.,0.05,2.19,13.4,16.1,.,0.02,.,.,37.74,2.70,315.66,26.29,379,912,0.690,.,.,363.7,73.3,14.3,7.88,36.2
Toolik,2010-07-02,1,0.94,1.03,0.17,0.25,.,0.10,0.22,.,.,.,0.03,.,.,52.94,3.78,371.27,30.92,.,.,.,.,.,.,.,.,.,.
N 01,2010-07-05,0,0.83,1.00,0.33,0.13,.,0.06,0.23,12.4,15.5,.,0.07,.,.,44.36,3.17,328.06,27.32,388,1103,1.092,.,.,504.7,100.1,10.4,11.77,24.9
N 01,2010-07-05,1,0.68,0.82,0.27,0.07,.,0.05,0.13,11.9,15.9,.,0.07,.,.,56.64,4.05,376.95,31.39,374,1106,1.095,.,.,501.6,98.6,10.2,11.70,24.9
N 01,2010-07-05,3,0.90,1.02,0.24,0.10,.,0.03,0.16,11.9,15.4,.,0.08,.,.,48.88,3.49,358.27,29.83,372,1113,1.099,.,.,502.3,98.8,10.2,11.67,24.9
N 01,2010-07-05,5,2.12,2.40,0.54,0.09,.,0.05,0.49,12.8,17.5,.,0.08,.,.,66.28,4.74,466.05,38.81,392,1411,1.297,.,.,591.3,116.1,12.1,12.42,31.8
N 01,2010-07-05,8,6.76,7.63,1.70,0.03,.,0.05,0.19,15.0,21.8,.,0.08,.,.,94.93,6.78,639.10,53.22,425,1751,1.550,.,.,709.6,138.6,14.8,13.53,42.5
N 01,2010-07-05,11,5.15,6.09,1.82,0.13,.,0.05,0.44,15.3,21.0,.,0.09,.,.,80.09,5.72,568.34,47.32,420,2004,1.577,.,.,711.0,139.3,15.2,13.66,49.3
N 02 Fert,2010-07-05,0,0.37,0.51,0.25,0.10,.,0.04,0.08,11.6,13.9,.,0.06,.,.,32.08,2.30,249.78,20.80,381,1529,1.516,.,.,689.4,137.4,14.6,8.78,24.7
N 02 Fert,2010-07-05,1,0.22,0.53,0.62,0.14,.,0.04,0.07,11.7,14.2,.,0.04,.,.,33.90,2.43,250.84,20.89,370,1541,1.527,.,.,690.5,137.7,14.5,8.78,24.7
N 02 Fert,2010-07-05,3,0.57,0.71,0.26,0.08,.,0.05,0.23,10.6,12.8,.,0.02,.,.,30.72,2.20,244.90,20.39,371,1577,1.520,.,.,692.9,138.9,14.4,8.78,25.2
N 02 Fert,2010-07-05,5,1.21,1.48,0.52,0.37,.,0.04,0.25,13.2,16.3,.,0.02,.,.,43.45,3.11,344.51,28.69,418,2007,1.844,.,.,904.2,182.5,19.8,9.88,33.6
N 02 Fert,2010-07-05,8,4.03,4.99,1.87,2.11,.,0.06,0.07,17.4,24.4,.,0.07,.,.,99.02,7.07,646.47,53.83,448,2851,2.376,.,.,1044.3,206.1,23.3,11.50,72.2
N 02 Ref,2010-07-05,0,0.38,0.45,0.13,0.15,.,0.05,0.19,10.4,12.4,.,0.02,.,.,27.54,1.97,213.53,17.78,370,1529,1.515,.,.,693.2,138.0,14.5,8.87,24.8
N 02 Ref,2010-07-05,1,0.40,0.53,0.25,0.11,.,0.04,0.23,11.3,13.8,.,0.03,.,.,34.36,2.46,248.41,20.69,379,1524,1.510,.,.,697.5,139.8,14.7,8.81,24.7
N 02 Ref,2010-07-05,3,0.61,0.92,0.60,0.16,.,0.04,0.08,13.1,16.09,.,0.06,.,.,41.63,2.98,327.76,27.29,395,1730,1.653,.,.,770.5,152.4,16.3,9.68,28.3
N 02 Ref,2010-07-05,5,0.92,1.13,0.42,0.09,.,0.04,0.07,13.3,16.63,.,0.07,.,.,46.18,3.30,381.21,31.74,430,2103,1.985,.,.,845.6,168.5,18.0,9.53,30.7
N 02 Ref,2010-07-05,6,2.29,2.77,0.92,0.16,.,0.04,0.06,13.9,18.23,.,0.07,.,.,61.19,4.37,464.83,38.71,460,2581,2.243,.,.,1030.0,204.5,22.5,10.81,48.3
E 05,2010-07-07,0,5.29,6.15,1.67,0.99,.,0.03,0.11,14.4,21.89,.,0.09,.,.,104.93,7.50,784.05,65.28,431,113,0.093,.,.,48.8,17.4,9.5,6.75,28.6
E 05,2010-07-07,1,4.99,5.81,1.58,0.67,.,0.03,0.51,11.0,19.17,.,0.08,.,.,114.14,8.15,811.12,67.54,427,117,0.089,.,.,48.9,17.3,9.4,6.64,28.7
E 05,2010-07-07,3,4.85,5.71,1.67,1.10,.,0.04,0.26,12.9,19.70,.,0.15,.,.,95.72,6.84,738.13,61.46,429,126,0.094,.,.,48.3,17.3,9.3,6.63,28.8
E 05,2010-07-07,5,4.11,5.08,1.89,0.37,.,0.03,0.17,11.0,18.32,.,0.10,.,.,102.88,7.35,774.45,64.48,435,348,0.106,.,.,49.8,17.5,9.2,6.66,32.1
E 05,2010-07-07,8,1.31,1.87,1.09,0.30,.,0.07,0.57,14.0,17.72,.,0.13,.,.,52.74,3.77,454.39,37.84,440,454,0.111,.,.,50.7,17.8,9.2,6.78,41.8
E 05,2010-07-07,10,0.91,1.57,1.29,1.15,.,0.10,1.11,14.7,18.51,.,0.14,.,.,53.76,3.84,496.54,41.35,430,468,0.114,.,.,51.0,17.6,9.2,6.81,43.7
E 06,2010-07-07,0,2.52,2.98,0.90,0.42,.,0.04,0.40,16.5,24.96,.,0.16,.,.,118.61,8.47,1105.88,92.08,475,128,0.098,.,.,51.5,17.7,10.2,6.14,6.9
E 06,2010-07-07,1,3.11,3.64,1.04,0.31,.,0.04,0.13,16.2,23.63,.,0.10,.,.,103.38,7.39,980.54,81.64,471,139,0.101,.,.,51.3,17.5,9.9,5.95,6.9
E 06,2010-07-07,2,2.58,3.10,1.00,0.35,.,0.04,0.19,14.5,21.34,.,0.12,.,.,96.26,6.88,892.28,74.29,473,140,0.101,.,.,51.0,17.6,9.9,5.98,6.9
NE 14,2010-07-08,1,.,.,.,0.24,.,0.26,0.03,7.80,.,.,0.16,.,0.08,21.80,.,262.10,.,197,1057,1.801,.,.,818.00,205.70,25.30,16.33,17.10
NE 14,2010-07-08,6,.,.,.,0.13,.,0.14,0.03,8.00,.,.,0.12,.,0.15,22.00,.,226.40,.,201,1274,1.820,.,.,866.80,216.90,26.80,17.24,18.40
NE 14,2010-07-08,12,.,.,.,0.37,.,0.05,0.05,8.40,.,.,0.07,.,0.22,34.50,.,372.00,.,206,1588,1.981,.,.,899.10,226.40,28.40,17.74,20.20
Toolik,2010-07-09,0,0.94,1.05,0.21,0.50,.,0.06,0.18,10.6,13.24,.,0.08,.,.,37.02,2.65,281.26,23.42,367,673,0.648,.,.,347.56,70.13,13.66,7.70,27.06
Toolik,2010-07-09,1,0.79,0.91,0.24,0.87,.,0.04,0.05,10.5,15.03,.,0.03,.,.,63.14,4.51,424.12,35.32,366,669,0.643,.,.,341.89,69.16,13.42,7.51,26.64
Toolik,2010-07-09,1,0.89,1.02,0.25,0.25,.,0.03,0.09,10.5,13.24,.,0.05,.,.,38.18,2.73,287.74,23.96,366,.,.,.,.,341.89,69.16,13.42,7.51,26.64
Toolik,2010-07-09,3,0.96,1.02,0.12,0.23,.,0.04,0.13,10.2,14.04,.,0.02,.,.,53.27,3.81,366.23,30.50,366,674,0.649,.,.,341.34,69.65,13.79,7.61,26.94
Toolik,2010-07-09,5,1.12,1.31,0.36,0.11,.,0.05,0.20,10.6,14.01,.,0.02,.,.,47.46,3.39,340.13,28.32,371,681,0.649,.,.,337.46,68.63,13.51,7.51,26.78
Toolik,2010-07-09,8,4.40,4.89,0.96,0.36,.,0.06,0.09,10.2,14.56,.,0.03,.,.,61.40,4.39,446.69,37.20,374,772,0.646,.,.,350.13,71.33,14.02,8.21,31.36
Toolik,2010-07-09,12,1.57,1.98,0.79,0.54,.,0.04,1.26,12.3,15.31,.,0.04,.,.,41.66,2.98,316.39,26.35,379,855,0.673,.,.,359.79,72.70,14.36,7.96,34.74
Toolik,2010-07-09,16,0.63,0.86,0.44,0.59,.,0.05,1.95,12.4,15.00,.,0.02,.,.,36.44,2.61,290.48,24.19,377,880,0.685,.,.,362.48,74.29,14.91,8.02,36.74
Toolik,2010-07-09,19,0.56,0.78,0.41,0.69,.,0.05,1.93,12.9,15.31,.,0.02,.,.,33.53,2.40,267.13,22.25,376,889,0.684,.,.,354.50,72.00,14.30,7.77,35.83
I1,2010-07-13,1,0.62,0.85,0.46,0.13,.,0.06,0.09,11.6,15.22,.,0.06,.,.,51.18,3.66,356.51,29.69,345,274,0.250,.,.,118.3,32.5,7.6,7.91,10.7
I1,2010-07-13,5,0.91,1.06,0.28,0.09,.,0.01,.,11.1,14.25,.,0.06,.,.,44.07,3.15,334.70,27.87,363,319,0.257,.,.,119.2,32.7,7.6,7.97,10.9
I1,2010-07-13,9,0.67,0.76,0.17,0.97,.,0.01,0.16,12.0,14.45,.,0.06,.,.,34.42,2.46,271.35,22.60,363,483,0.253,.,.,116.6,32.2,7.7,8.45,15.8
I2,2010-07-13,1,0.62,0.72,0.18,0.28,.,0.02,.,15.3,17.33,.,0.02,.,.,28.33,2.03,238.21,19.84,507,244,0.214,.,.,100.2,37.2,7.7,8.30,11.9
I2,2010-07-13,4,0.85,0.96,0.21,0.10,.,0.04,.,15.2,17.79,.,0.02,.,.,35.94,2.57,274.26,22.84,511,268,0.204,.,.,100.7,37.0,7.7,8.21,12.0
I2,2010-07-13,14,0.29,0.46,0.32,1.44,.,0.07,1.52,15.2,17.61,.,0.08,.,.,33.41,2.39,274.61,22.87,490,438,0.218,.,.,105.7,38.1,8.4,8.94,20.3
I3,2010-07-13,1,0.55,0.87,0.61,0.19,.,0.02,0.04,13.9,18.13,.,0.11,.,.,59.69,4.27,577.03,48.05,449,260,0.230,.,.,111.0,33.9,7.3,6.36,9.6
I3,2010-07-13,3,1.02,1.18,0.32,0.10,.,0.03,0.09,12.6,16.90,.,0.06,.,.,59.69,4.27,529.29,44.07,443,278,0.230,.,.,112.0,34.0,7.2,6.28,9.6
I4,2010-07-13,1,1.31,1.50,0.36,0.45,.,0.06,0.02,14.8,19.88,.,0.07,.,.,70.87,5.06,600.72,50.02,476,247,0.219,.,.,107.8,32.1,7.1,6.59,8.6
I4,2010-07-13,4,1.96,2.28,0.63,0.09,.,0.06,0.35,15.0,20.68,.,0.06,.,.,79.00,5.64,638.15,53.14,476,272,0.222,.,.,107.3,32.0,7.2,6.63,8.9
I4,2010-07-13,6,1.64,2.03,0.76,0.08,.,0.07,0.03,17.7,23.31,.,0.09,.,.,79.00,5.64,674.90,56.20,461,554,0.223,.,.,108.2,32.3,7.0,6.80,11.7
I5,2010-07-13,1,0.75,0.85,0.20,0.11,.,0.07,0.03,13.3,16.09,.,0.03,.,.,38.99,2.79,294.87,24.55,464,230,0.205,.,.,100.8,29.8,6.9,6.74,12.6
