parameter,value
intercept,3.889021426201644
slope,-0.4097943287855747
r_squared,0.31110789622154966
adj_r_squared,0.2973300541459807
residual_se,0.6645862663875612
f_statistic,22.580306445318385
p_value,1.7406305456131897e-5
