lake,date,depth_m,corrected_chl_ug_l,total_chl_ug_l,pheo_ug_l,po4_u_m,no3_u_m,tdn_u_m,tn_u_m,tp_u_m,tdp_u_m,pp_ug_l,pn_ug_l,pc_ug_l,alk_meq_l
Toolik,2010-05-07T00:00:00Z,3,NA,NA,NA,NA,NA,16.1028903,15.9,NA,NA,NA,NA,NA,0.812
Toolik,2010-05-07T00:00:00Z,16,NA,NA,NA,NA,NA,17.45319446,17.2,NA,NA,NA,NA,NA,0.846
Toolik,2010-06-18T00:00:00Z,0,4.36,4.67,0.59,0.04,0.39,11.82110068,16.232709242350555,NA,0.09,NA,61.8,488.88,0.631
Toolik,2010-06-18T00:00:00Z,1,4.4,4.64,0.47,0.05,0.45,11.54264789,15.827818521113596,NA,0.07,NA,60.03,473.68,0.633
Toolik,2010-06-18T00:00:00Z,3,3.58,3.74,0.29,0.03,0.62,11.35329999,16.439244185614335,NA,0.07,NA,71.24,502.9,0.627
Toolik,2010-06-18T00:00:00Z,5,3.45,3.68,0.44,0.04,0.93,11.70971957,15.362700544928806,NA,0.07,NA,51.17,404.6,0.632
Toolik,2010-06-18T00:00:00Z,8,1.74,1.85,0.23,0.03,1.65,11.82110068,14.926183952901987,NA,0.07,NA,43.5,320.51,0.652
Toolik,2010-06-18T00:00:00Z,12,0.95,1.08,0.24,0.04,1.87,12.68987341,15.162767026717194,NA,0.05,NA,34.64,295.84,0.67
Toolik,2010-06-18T00:00:00Z,16,1.15,1.29,0.26,0.04,2.45,13.46954124,15.689558994243278,NA,0.04,NA,31.1,268.6,0.693
Toolik,2010-06-18T00:00:00Z,20,0.88,1.02,0.26,0.04,2.4,13.55864613,15.94724779255922,NA,0.05,NA,33.46,281.63,0.712
Toolik,2010-06-18T00:00:00Z,1,4.4,4.62,0.43,0.05,0.45,NA,NA,NA,0.08,NA,58.26,440.32,NA
I1,2010-06-22T00:00:00Z,1,0.53,0.64,0.21,0.02,0.2,11.2139626,13.70964408412456,NA,0.08,NA,34.96,297.55,0.249
I1,2010-06-22T00:00:00Z,5,1.38,1.58,0.37,0.01,0.19,12.30505542,15.831598463691847,NA,NA,NA,49.4,401.83,0.252
I1,2010-06-22T00:00:00Z,9,3.78,4.3,1.02,0.04,0.2,11.258497,15.962840896746293,NA,NA,NA,65.9,498.97,0.255
I2,2010-06-22T00:00:00Z,1,0.69,0.84,0.29,0.04,0.28,16.11274669,19.087838663398028,NA,0.12,NA,41.68,312.4,0.204
I2,2010-06-22T00:00:00Z,4,3.17,3.47,0.57,0.02,0.26,13.88602665,18.171197281113596,NA,0.05,NA,60.03,425.52,0.212
I2,2010-06-22T00:00:00Z,14,0.61,0.8,0.35,0.03,1.27,15.06618827,17.656208983283825,NA,0.06,NA,36.28,358.96,0.221
I3,2010-06-22T00:00:00Z,1,0.68,0.79,0.21,0.09,0.11,11.2362298,15.059509562112623,NA,0.04,NA,53.56,420.52,0.217
I3,2010-06-22T00:00:00Z,3,2.23,2.58,0.67,0.06,0.02,12.63906343,16.24989842784982,NA,0.07,NA,50.58,395.52,0.22
I4,2010-06-22T00:00:00Z,1,1.44,1.67,0.43,0.04,NA,14.46497386,20.193891427131376,NA,0.01,NA,80.25,638.26,0.208
I4,2010-06-22T00:00:00Z,4,4.44,5.16,1.39,0.06,0.07,12.59452903,19.15133904114786,NA,0.05,NA,91.84,786.54,0.227
I4,2010-06-22T00:00:00Z,6,3.76,4.46,1.38,0.06,0.14,13.41841544,20.565269130253668,NA,0.07,NA,100.11,905.83,0.229
I5,2010-06-22T00:00:00Z,1,1.21,1.34,0.25,0.1,0.01,12.92853703,16.08801765311859,NA,0.04,NA,44.26,373.54,0.198
I5,2010-06-22T00:00:00Z,4,1.97,2.19,0.43,0.03,0.11,12.50546022,16.32702510324475,NA,0.05,NA,53.53,454.73,0.2
I5,2010-06-22T00:00:00Z,8,0.04,2.73,5.23,0.03,0.42,14.33137065,18.83903332037769,NA,0.04,NA,63.14,503.81,0.205
I6,2010-06-22T00:00:00Z,1,0.43,0.48,0.09,0.04,0.27,12.08238342,14.283043064571658,NA,0.04,NA,30.83,247.29,0.885
I6,2010-06-22T00:00:00Z,4,1.13,1.23,0.2,0.04,0.39,11.0580922,13.530985816717195,NA,0.02,NA,34.64,305.11,0.899
I6,2010-06-22T00:00:00Z,6,3.68,4.13,0.87,0.03,0.08,11.65930661,16.609502039707046,NA,0.03,NA,69.34,559.31,0.931
I6,2010-06-23T00:00:00Z,1,0.69,0.81,0.22,0.04,NA,14.01962985,16.699699983845125,NA,0.06,NA,37.54,318.1,0.357
I6,2010-06-23T00:00:00Z,4,1.01,1.22,0.41,0.08,NA,13.35161384,16.658605382895043,NA,0.04,NA,46.33,353.33,0.358
I6,2010-06-23T00:00:00Z,12,0.91,1.13,0.42,0.15,0.61,12.95080423,15.889018473453914,NA,0.03,NA,41.16,370.6,0.41
I7,2010-06-23T00:00:00Z,1,2.67,2.87,0.38,0.07,NA,13.26254504,15.942615173845123,NA,0.03,NA,37.54,327.6,0.355
I7,2010-06-23T00:00:00Z,3,0.97,1.09,0.23,0.06,0.16,11.52570341,14.427039923509803,NA,0.02,NA,40.64,317.41,0.348
I7,2010-06-23T00:00:00Z,10,0.91,1.41,0.96,0.09,0.49,12.41639142,16.72737286400909,NA,0.05,NA,60.39,485.62,0.486
I8,2010-06-23T00:00:00Z,1,0.5,0.56,0.11,0.06,0.01,12.66133063,16.521488122056734,NA,0.06,NA,54.07,430.88,0.596
I8,2010-06-23T00:00:00Z,4,8.34,8.81,0.92,0.06,0.11,11.74837541,18.39372075753682,NA,0.1,NA,93.08,657.84,0.573
I8,2010-06-23T00:00:00Z,7,4.78,5.35,1.09,0.08,0.06,11.258497,16.847906415405,NA,0.08,NA,78.29,579.34,0.565
NE 14,2010-06-24T00:00:00Z,1,NA,NA,NA,0.01,0.76,6.8,NA,NA,0.14,NA,22.1,303.5,1.793
NE 14,2010-06-24T00:00:00Z,5,NA,NA,NA,0.24,0.01,6.6,NA,NA,0.06,NA,18.3,235.6,1.81
NE 14,2010-06-24T00:00:00Z,12,NA,NA,NA,0.07,0.51,6.5,NA,NA,0.07,NA,28.3,342.1,1.991
Toolik,2010-06-25T00:00:00Z,0,1.15,1.24,0.16,0.03,0.14,10.84094684,13.889794273286254,NA,0.05,NA,42.71,336.23,0.632
Toolik,2010-06-25T00:00:00Z,1,1.16,1.24,0.17,0.01,0.03,11.453542995,14.649901348062704,NA,0.03,NA,44.78,344.7,0.641
Toolik,2010-06-25T00:00:00Z,3,1.34,1.43,0.18,NA,0.13,11.24191887,14.364521763174478,NA,0.05,NA,43.74,356.96,0.633
Toolik,2010-06-25T00:00:00Z,5,1.81,2.02,0.4,0.02,NA,10.21721258,13.782348232503832,NA,0.03,NA,49.94,380.28,0.637
Toolik,2010-06-25T00:00:00Z,8,3.88,4.27,0.75,0.01,0.5,10.97460418,14.76100621216851,NA,0.01,NA,53.04,379.24,0.64
Toolik,2010-06-25T00:00:00Z,12,0.88,1.08,0.37,0.02,1.76,12.11069159,15.085783563398028,NA,0.05,NA,41.68,309.64,0.674
Toolik,2010-06-25T00:00:00Z,16,0.66,0.83,0.34,0.01,2.03,12.97946432,15.106368504683433,NA,0.03,NA,29.8,239.17,0.689
Toolik,2010-06-25T00:00:00Z,20,0.58,0.76,0.34,0.03,2.1,13.35816012,15.927597064012787,NA,0.03,NA,35.99,294.78,0.691
Toolik,2010-06-25T00:00:00Z,1,1.13,1.22,0.17,0.02,0.12,NA,NA,NA,0.05,NA,47.36,356.61,NA
Fog 02,2010-06-30T00:00:00Z,0,0.3,0.32,0.04,0.02,0.33,10.23508847,12.070786442036407,NA,0.02,NA,25.72,211.85,1.392
Fog 02,2010-06-30T00:00:00Z,1,0.32,0.35,0.06,0.02,NA,9.194880373,10.998110177910027,NA,0.1,NA,25.26,212.16,1.394
Fog 02,2010-06-30T00:00:00Z,3,0.34,0.37,0.05,0.02,NA,8.558018274,10.393716246036407,NA,0.02,NA,25.72,215.66,1.392
Fog 02,2010-06-30T00:00:00Z,5,0.43,0.44,NA,0.02,NA,10.00157236,12.129483836173822,NA,0.15,NA,29.81,237.9,1.396
Fog 02,2010-06-30T00:00:00Z,8,0.62,0.74,0.24,0.04,NA,10.38368962,12.901219101690375,NA,0.03,NA,35.27,309.33,1.492
Fog 02,2010-06-30T00:00:00Z,12,2.17,2.4,0.46,0.04,0.4,12.33673339,17.18447712770608,NA,0.01,NA,67.91,496.89,1.731
Fog 02,2010-06-30T00:00:00Z,16,7.55,8.61,2.06,0.05,0.73,17.24057155,20.773354519087714,NA,0.03,NA,49.49,343.82,1.794
Fog 04,2010-06-30T00:00:00Z,0,1.78,1.96,0.35,0.04,0.05,17.89866238,21.909727549503828,NA,0.14,NA,56.19,434.22,0.938
Fog 04,2010-06-30T00:00:00Z,1,1.82,2.03,0.4,0.08,0.06,18.08972101,22.49040418502038,NA,0.1,NA,61.64,450.21,0.935
Fog 04,2010-06-30T00:00:00Z,2,1.77,1.99,0.42,0.04,0.02,17.38917271,22.082069389157795,NA,0.17,NA,65.74,470.01,0.934
NE 14,2010-07-02T00:00:00Z,1,NA,NA,NA,0.12,0.09,7.1,NA,NA,0.14,NA,13,187.7,1.799
NE 14,2010-07-02T00:00:00Z,5,NA,NA,NA,0.1,0.02,7.5,NA,NA,0.14,NA,9.6,164.7,1.834
NE 14,2010-07-02T00:00:00Z,12,NA,NA,NA,0.05,0.02,8.3,NA,NA,0.03,NA,24.1,281.5,1.993
Toolik,2010-07-02T00:00:00Z,0,0.78,0.91,0.24,0.05,0.25,11.39785243,14.485759913021909,NA,0.04,NA,43.26,322.12,0.645
Toolik,2010-07-02T00:00:00Z,1,0.69,0.76,0.14,0.02,0.11,10.78525628,14.272548617148265,NA,0.03,NA,48.85,367.94,0.642
Toolik,2010-07-02T00:00:00Z,3,0.82,0.92,0.19,0.04,0.27,10.06127901,13.17286827040016,NA,0.03,NA,43.59,358.74,0.643
Toolik,2010-07-02T00:00:00Z,5,1.3,1.43,0.26,0.13,0.25,9.45982097,13.114092452369645,NA,0.03,NA,51.19,385.17,0.644
Toolik,2010-07-02T00:00:00Z,8,5.8,6.4,1.16,0.06,0.17,10.19493635,14.600613985865854,NA,0.08,NA,61.71,470.35,0.64
Toolik,2010-07-02T00:00:00Z,12,2.29,2.56,0.52,0.08,0.91,11.06370908,14.467511844537576,NA,0.03,NA,47.68,369.7,NA
Toolik,2010-07-02T00:00:00Z,16,0.62,0.79,0.32,0.05,0.12,12.71214963,15.239311882125332,NA,0.03,NA,35.4,294.51,0.679
Toolik,2010-07-02T00:00:00Z,20,0.52,0.69,0.32,0.05,2.19,13.35816012,16.05230151734671,NA,0.02,NA,37.74,315.66,0.69
Toolik,2010-07-02T00:00:00Z,1,0.94,1.03,0.17,0.1,0.22,NA,NA,NA,0.03,NA,52.94,371.27,NA
NE 14,2010-07-08T00:00:00Z,1,NA,NA,NA,0.26,0.03,7.8,NA,NA,0.16,NA,21.8,262.1,1.801
NE 14,2010-07-08T00:00:00Z,6,NA,NA,NA,0.14,0.03,8,NA,NA,0.12,NA,22,226.4,1.82
NE 14,2010-07-08T00:00:00Z,12,NA,NA,NA,0.05,0.05,8.4,NA,NA,0.07,NA,34.5,372,1.981
Toolik,2010-07-09T00:00:00Z,0,0.94,1.05,0.21,0.06,0.18,10.59590838,13.238265066902262,NA,0.08,NA,37.02,281.26,0.648
Toolik,2010-07-09T00:00:00Z,1,0.79,0.91,0.24,0.04,0.05,10.517941596,15.025210604494225,NA,0.03,NA,63.14,424.12,0.643
Toolik,2010-07-09T00:00:00Z,1,0.89,1.02,0.25,0.03,0.09,10.517941596,13.243183274973015,NA,0.05,NA,38.18,287.74,NA
Toolik,2010-07-09T00:00:00Z,3,0.96,1.02,0.12,0.04,0.13,10.2394888,14.042235375892817,NA,0.02,NA,53.27,366.23,0.649
Toolik,2010-07-09T00:00:00Z,5,1.12,1.31,0.36,0.05,0.2,10.6181846,14.006506215539046,NA,0.02,NA,47.46,340.13,0.649
Toolik,2010-07-09T00:00:00Z,8,4.4,4.89,0.96,0.06,0.09,10.17266013,14.555601650388095,NA,0.03,NA,61.4,446.69,0.646
Toolik,2010-07-09T00:00:00Z,12,1.57,1.98,0.79,0.04,1.26,12.33345383,15.307350485185276,NA,0.04,NA,41.66,316.39,0.673
Toolik,2010-07-09T00:00:00Z,16,0.63,0.86,0.44,0.05,1.95,12.4002825,15.001196690866884,NA,0.02,NA,36.44,290.48,0.685
Toolik,2010-07-09T00:00:00Z,19,0.56,0.78,0.41,0.05,1.93,12.91263565,15.30633736069,NA,0.02,NA,33.53,267.13,0.684
I1,2010-07-13T00:00:00Z,1,0.62,0.85,0.46,0.06,0.09,11.57023781,15.224000720184808,NA,0.06,NA,51.18,356.51,0.25
I1,2010-07-13T00:00:00Z,5,0.91,1.06,0.28,0.01,NA,11.1026266,14.24871893375144,NA,0.06,NA,44.07,334.7,0.257
I1,2010-07-13T00:00:00Z,9,0.67,0.76,0.17,0.01,0.16,11.99331461,14.450425447163298,NA,0.06,NA,34.42,271.35,0.253
I2,2010-07-13T00:00:00Z,1,0.62,0.72,0.18,0.02,NA,15.31112747,17.33309209879184,NA,0.02,NA,28.33,238.21,0.214
I2,2010-07-13T00:00:00Z,4,0.85,0.96,0.21,0.04,NA,15.22205867,17.78795605925616,NA,0.02,NA,35.94,274.26,0.204
I2,2010-07-13T00:00:00Z,14,0.29,0.46,0.32,0.07,1.52,15.22205867,17.60664513910139,NA,0.08,NA,33.41,274.61,0.218
I3,2010-07-13T00:00:00Z,1,0.55,0.87,0.61,0.02,0.04,13.86375945,18.12526181176941,NA,0.11,NA,59.69,577.03,0.23
I3,2010-07-13T00:00:00Z,3,1.02,1.18,0.32,0.03,0.09,12.63906343,16.90056579176941,NA,0.06,NA,59.69,529.29,0.23
I4,2010-07-13T00:00:00Z,1,1.31,1.5,0.36,0.06,0.02,14.82124906,19.880519470450412,NA,0.07,NA,70.87,600.72,0.219
I4,2010-07-13T00:00:00Z,4,1.96,2.28,0.63,0.06,0.35,15.04392107,20.68338642494569,NA,0.06,NA,79,638.15,0.222
I4,2010-07-13T00:00:00Z,6,1.64,2.03,0.76,0.07,0.03,17.67145071,23.31091606494569,NA,0.09,NA,79,674.9,0.223
I5,2010-07-13T00:00:00Z,1,0.75,0.85,0.2,0.07,0.03,13.30707944,16.090549933441892,NA,0.03,NA,38.99,294.87,0.205
I5,2010-07-13T00:00:00Z,5,0.92,1.14,0.41,0.02,NA,12.72813223,16.345632956153853,NA,0.01,NA,50.67,340.89,0.197
I5,2010-07-13T00:00:00Z,8,1.25,1.69,0.85,0.03,0.04,12.46092582,15.752066889875259,NA,0.05,NA,46.1,367.16,0.197
I6,2010-07-13T00:00:00Z,1,0.46,0.52,0.11,0.03,NA,11.77064261,13.756345054760885,NA,0.03,NA,27.82,228.76,0.925
I6,2010-07-13T00:00:00Z,5,0.7,0.81,0.21,0.04,NA,11.3921002,13.812948853132342,NA,0.03,NA,33.91,271.69,0.949
I6,2010-07-13T00:00:00Z,6,0.74,0.94,0.39,0.04,0.04,11.97104741,14.573206983287118,NA,0.02,NA,36.45,309.12,0.986
I6,2010-07-14T00:00:00Z,1,0.85,0.97,0.23,0.03,NA,13.39614824,15.599423788946615,NA,0.01,NA,30.87,226.01,0.384
I6,2010-07-14T00:00:00Z,5,1.61,1.81,0.39,0.04,0.14,12.75039943,15.461345555379982,NA,0.05,NA,37.98,262.07,0.383
I6,2010-07-14T00:00:00Z,12,0.69,0.94,0.49,0.05,0.72,14.08643145,18.973108617237273,NA,0.04,NA,68.45,445.63,0.415
I7,2010-07-14T00:00:00Z,1,0.83,0.93,0.2,0.04,0.03,11.3252986,13.854933805225206,NA,0.01,NA,35.44,255.72,0.403
I7,2010-07-14T00:00:00Z,5,1.42,1.64,0.41,0.06,0.05,11.3475658,14.384871581658576,NA,0.04,NA,42.55,295.21,0.385
I7,2010-07-14T00:00:00Z,10,1.61,2.09,0.93,0.07,0.3,15.68966988,19.05333531793717,NA,0.06,NA,47.12,315.3,0.462
I8,2010-07-14T00:00:00Z,1,1.85,2.11,0.49,0.1,0.13,17.38197711,21.625116467043195,NA,0.05,NA,59.44,424.29,0.751
I8,2010-07-14T00:00:00Z,5,3.05,3.54,0.95,0.1,0.13,13.39614824,18.65462874990993,NA,0.04,NA,73.66,503.51,0.703
I8,2010-07-14T00:00:00Z,7,3.41,4.26,1.65,0.05,0.14,13.57428584,19.316262136989327,NA,0.03,NA,80.43,542.66,0.68
NE 14,2010-07-15T00:00:00Z,1,NA,NA,NA,NA,NA,7.1,NA,NA,0.27,NA,15.7,186.8,1.79
NE 14,2010-07-15T00:00:00Z,7,NA,NA,NA,0.05,0.13,6.9,NA,NA,0.04,NA,15,178.1,1.851
NE 14,2010-07-15T00:00:00Z,12,NA,NA,NA,NA,0.06,7.4,NA,NA,0.02,NA,35.7,337.6,1.997
Toolik,2010-07-16T00:00:00Z,0,0.95,1.1,0.28,0.03,0.19,11.33102376,14.656122734069811,NA,0.02,NA,46.58,329.24,0.661
Toolik,2010-07-16T00:00:00Z,1,0.99,1.14,0.28,0.03,0.07,10.78525628,13.066450897153915,NA,0.03,NA,31.96,257.93,0.663
Toolik,2010-07-16T00:00:00Z,3,0.99,1.14,0.28,0.02,0.13,10.10583146,12.68062417753651,NA,0.01,NA,36.07,287.01,0.667
Toolik,2010-07-16T00:00:00Z,5,1.01,1.18,0.32,0.02,NA,9.949897892,12.369442786106855,NA,0.02,NA,33.89,285.01,0.676
Toolik,2010-07-16T00:00:00Z,8,2.2,2.66,0.91,0.03,0.11,9.81624055,13.116579745254642,NA,0.01,NA,46.23,343.71,0.67
Toolik,2010-07-16T00:00:00Z,12,1.54,2.02,0.92,0.03,1.12,11.88792936,14.821270929776398,NA,0.03,NA,41.09,312.04,0.69
Toolik,2010-07-16T00:00:00Z,16,0.63,0.91,0.54,0.03,1.84,13.00174054,15.201086858819911,NA,0.02,NA,30.81,286.04,0.674
Toolik,2010-07-16T00:00:00Z,20,0.57,0.86,0.58,0.03,1.96,12.75670208,15.10284744901121,NA,0.01,NA,32.87,276.4,0.685
Toolik,2010-07-16T00:00:00Z,1,0.99,1.13,0.28,0.05,1.86,NA,NA,NA,0.02,NA,34.7,287.93,NA
NE 14,2010-07-22T00:00:00Z,1,NA,NA,NA,0.12,0.03,9.5,NA,NA,0.12,NA,29.3,241.9,1.81
NE 14,2010-07-22T00:00:00Z,10,NA,NA,NA,NA,0.01,7.7,NA,NA,0.05,NA,21.1,191.4,1.927
NE 14,2010-07-22T00:00:00Z,16,NA,NA,NA,0.01,0.05,7.8,NA,NA,0.05,NA,39,280.9,2.114
Toolik,2010-07-23T00:00:00Z,0,0.89,1.03,0.26,0.01,0.12,10.35086992,13.056150682150996,NA,NA,NA,37.9,311.95,0.672
Toolik,2010-07-23T00:00:00Z,1,0.93,1.07,0.28,0.02,0.18,9.9387597785,12.807150596419106,NA,NA,NA,40.18,303.69,0.673
Toolik,2010-07-23T00:00:00Z,3,0.92,1.05,0.25,0.02,0.11,9.548925865,13.10237891714516,NA,NA,NA,49.78,374.38,0.683
Toolik,2010-07-23T00:00:00Z,5,0.94,1.07,0.26,0.03,0.13,10.12810768,13.09436453137997,NA,NA,NA,41.55,312.56,0.68
Toolik,2010-07-23T00:00:00Z,8,1.45,1.72,0.51,0.02,0.3,10.41769859,13.677553541762567,NA,NA,NA,45.66,330.01,0.681
Toolik,2010-07-23T00:00:00Z,12,1.69,2.04,0.67,0.02,0.61,10.81867062,13.882793504840837,NA,NA,NA,42.92,312.26,0.659
Toolik,2010-07-23T00:00:00Z,16,0.84,1.13,0.57,0.03,1.57,11.99931047,14.280505087153914,NA,NA,NA,31.96,279.97,0.672
Toolik,2010-07-23T00:00:00Z,19,0.66,0.94,0.53,0.03,1.84,13.51409369,16.44705819776932,NA,NA,NA,41.09,325.73,0.683
Toolik,2010-07-23T00:00:00Z,1,0.89,1.02,0.25,0.02,0.11,NA,NA,NA,NA,NA,35.16,278.9,NA
Fog 02,2010-07-26T00:00:00Z,0,0.38,0.41,0.06,0.04,0.07,9.768056261,11.135834565852509,NA,0.05,NA,19.16,200.24,1.414
Fog 02,2010-07-26T00:00:00Z,1,0.36,0.4,0.07,0.03,NA,10.57474825,12.301368677542348,NA,0.07,NA,24.19,214.63,1.402
Fog 02,2010-07-26T00:00:00Z,3,0.39,0.43,0.07,0.02,NA,9.555768895,11.184523289081481,NA,0.07,NA,22.82,245.08,1.408
Fog 02,2010-07-26T00:00:00Z,5,0.41,0.43,0.04,0.04,NA,9.661912578,11.649509094771322,NA,0.03,NA,27.84,239.57,1.406
Fog 02,2010-07-26T00:00:00Z,8,0.84,0.92,0.15,0.03,0.07,11.02055172,13.432234381768403,NA,0.02,NA,33.78,276.45,1.507
Fog 02,2010-07-26T00:00:00Z,12,1.9,2.07,0.33,0.03,0.19,11.89092992,14.922430793687214,NA,0.06,NA,42.47,356.48,1.713
Fog 02,2010-07-26T00:00:00Z,16,1.53,1.66,0.26,0.04,0.92,18.17463596,20.887778954489452,NA,0.05,NA,38.01,308.77,1.759
Fog 04,2010-07-26T00:00:00Z,0,2.73,2.93,0.39,0.04,0.06,20.50979699,27.69943120397418,NA,0.17,NA,100.71,903.12,0.996
Fog 04,2010-07-26T00:00:00Z,1,2.81,2.86,0.09,0.05,NA,17.98357733,24.341350259556826,NA,0.15,NA,89.06,865.25,0.995
Fog 04,2010-07-26T00:00:00Z,3,3.91,4.41,0.96,0.05,NA,18.91764174,26.596606121278505,NA,0.18,NA,107.56,949.94,0.991
NE 14,2010-07-29T00:00:00Z,1,NA,NA,NA,0.06,0.08,7.1,NA,NA,0.1,NA,12.2,109.2,1.808
NE 14,2010-07-29T00:00:00Z,8,NA,NA,NA,0.05,0.01,7.3,NA,NA,0.06,NA,17.5,148.8,1.862
NE 14,2010-07-29T00:00:00Z,14,NA,NA,NA,0.05,0.16,6.8,NA,NA,0.07,NA,18.7,140.9,2.067
Toolik,2010-07-30T00:00:00Z,0,1.1,1.23,0.24,0.01,0.11,11.01915663,14.018035492533592,NA,NA,NA,42.01,306.29,0.694
Toolik,2010-07-30T00:00:00Z,1,1.16,1.27,0.22,NA,0.09,10.41769859,14.851945943292947,NA,NA,NA,62.11,415.39,0.691
Toolik,2010-07-30T00:00:00Z,3,1.23,1.33,0.19,0.02,0.09,9.838516773,12.837395635533593,NA,NA,NA,42.01,310.11,0.692
Toolik,2010-07-30T00:00:00Z,5,1,1.09,0.17,0.02,0.12,10.37314614,13.14367092445824,NA,NA,NA,38.81,296.34,0.684
Toolik,2010-07-30T00:00:00Z,8,1.34,1.49,0.3,0.02,0.13,10.97460418,13.647262930997377,NA,NA,NA,37.44,282.72,0.657
Toolik,2010-07-30T00:00:00Z,12,1.3,1.58,0.54,0.03,0.92,10.99688041,13.96313726137997,NA,NA,NA,41.55,291.6,0.67
Toolik,2010-07-30T00:00:00Z,16,0.72,0.99,0.51,0.03,1.76,12.31117761,14.49450619369305,NA,NA,NA,30.59,250.74,0.674
Toolik,2010-07-30T00:00:00Z,20,0.64,0.91,0.52,0.04,1.87,12.89035942,15.07368800369305,NA,NA,NA,30.59,262.68,0.683
Toolik,2010-07-30T00:00:00Z,1,1.19,1.29,0.19,NA,0.06,NA,NA,NA,NA,NA,49.78,352.2,NA
Toolik,2010-08-05T00:00:00Z,0,0.97,1.08,0.21,NA,0.19,11.91884455,14.591503300997376,NA,NA,NA,37.44,279.51,0.709
Toolik,2010-08-05T00:00:00Z,1,1.01,1.12,0.2,NA,0.13,11.30645724,13.946493979843755,NA,NA,NA,36.98,293.74,0.708
Toolik,2010-08-05T00:00:00Z,3,1.05,1.17,0.23,NA,0.26,11.55594837,14.261229132150996,NA,NA,NA,37.9,285.32,0.695
Toolik,2010-08-05T00:00:00Z,5,1.23,1.4,0.32,NA,0.18,11.32913825,14.29539510137997,NA,NA,NA,41.55,294.66,0.701
Toolik,2010-08-05T00:00:00Z,8,1.16,1.59,0.84,NA,0.06,10.76211297,13.500015743304619,NA,NA,NA,38.35,272.93,0.689
Toolik,2010-08-05T00:00:00Z,12,1.23,1.48,0.48,0.05,0.98,11.80543949,15.032672430608944,NA,NA,NA,45.21,306.44,0.681
Toolik,2010-08-05T00:00:00Z,16,0.65,0.9,0.48,0.01,1.8,12.93949006,15.318550710614781,NA,NA,NA,33.33,249.67,0.702
Toolik,2010-08-05T00:00:00Z,20,0.67,0.94,0.52,0.02,1.95,13.09825714,15.67304985753651,NA,NA,NA,36.07,274.77,0.695
Toolik,2010-08-05T00:00:00Z,1,0.97,1.08,0.2,NA,0.16,NA,NA,NA,NA,NA,63.94,414.93,NA
I1,2010-08-09T00:00:00Z,1,0.74,0.83,0.19,0.09,0.27,14.73272872,16.96196201077428,NA,NA,NA,31.23,248.48,0.258
I1,2010-08-09T00:00:00Z,8,0.99,1.21,0.41,0.06,0.02,12.01226297,15.221835571088684,NA,NA,NA,44.96,326.4,0.252
I1,2010-08-09T00:00:00Z,9,0.9,1.16,0.5,0.07,0.26,11.89311849,15.393161997848509,NA,NA,NA,49.03,372.19,0.257
I2,2010-08-09T00:00:00Z,1,0.81,0.9,0.16,0.11,NA,15.8248865,17.98150206408432,NA,NA,NA,30.21,262.82,0.129
I2,2010-08-09T00:00:00Z,5,1.11,1.22,0.21,0.12,NA,17.11561842,19.126998530704412,NA,NA,NA,28.18,236.21,0.196
I2,2010-08-09T00:00:00Z,14,0.3,0.45,0.29,0.13,1.49,18.56520966,20.503972044014454,NA,NA,NA,27.16,229.99,0.223
I3,2010-08-09T00:00:00Z,1,0.74,0.86,0.23,0.06,NA,19.16093208,22.230066769952312,NA,NA,NA,42.99,387.52,0.24
I3,2010-08-09T00:00:00Z,3,0.74,0.87,0.25,0.12,0.06,18.30706327,21.037315235399184,NA,NA,NA,38.25,339.83,0.244
I4,2010-08-09T00:00:00Z,1,1.3,1.5,0.38,0.17,0.08,17.96948723,22.573189264928466,NA,NA,NA,64.49,599.24,0.228
I4,2010-08-09T00:00:00Z,5,1.63,1.95,0.62,0.09,0.08,20.72966781,25.696458478378247,NA,NA,NA,69.57,609.26,0.208
I4,2010-08-09T00:00:00Z,6,1.41,1.93,1.01,0.24,0.2,16.71847014,24.31677012129341,NA,NA,NA,106.43,1035.08,0.242
I5,2010-08-09T00:00:00Z,1,0.98,1.18,0.37,0.12,NA,15.5468827,18.86538189112362,NA,NA,NA,46.49,352.32,0.198
I5,2010-08-09T00:00:00Z,7,0.99,1.22,0.46,0.07,0.04,14.23629336,17.70002800450353,NA,NA,NA,48.52,334.52,0.2
I5,2010-08-09T00:00:00Z,8,0.65,1.02,0.7,0.06,0.13,13.81928766,16.847315944363796,NA,NA,NA,42.42,309.13,0.204
I6,2010-08-09T00:00:00Z,1,0.51,0.6,0.17,0.12,0.09,14.17672112,16.478572137464234,NA,NA,NA,32.25,230.17,0.957
I6,2010-08-09T00:00:00Z,5,0.68,0.82,0.27,0.19,NA,13.62071352,16.104108854189125,NA,NA,NA,34.79,269.04,0.947
I6,2010-08-09T00:00:00Z,6,0.67,0.85,0.35,0.12,0.04,NA,NA,NA,NA,NA,35.3,269.73,NA
I6,2010-08-10T00:00:00Z,1,0.92,1.04,0.24,0.07,0.13,14.4348675,17.099807150914014,NA,NA,NA,37.33,254.87,0.399
I6,2010-08-10T00:00:00Z,6,1.16,1.36,0.37,0.07,NA,13.36256714,15.700727020809211,NA,NA,NA,32.75,234.83,0.415
I6,2010-08-10T00:00:00Z,12,0.8,1.04,0.45,0.07,1.16,15.2688789,17.788583097534104,NA,NA,NA,35.3,247.44,0.425
