lake,longitude_utm,latitude_utm,state,source,state_lake_id,epa_lake_id,date,year,CHL_ugL,TN_ugL,TP_ugL,Area_km2,Z_mean_m,Watershed_km2,AgUrb.prop
Lake Darling,341459.3487,2028296.459,IA,IADNR_ISU,54,IA054,8/3/04,2004,245.6,2686,204.69,100.142,2.709,50.387,low
Lake Miami,262702.5955,2015224.609,IA,IADNR_ISU,63,IA063,8/4/04,2004,93.47,3849,298.72,51.974,2.971,15.665,low
Lake Wapello,285781.8864,1983087.808,IA,IADNR_ISU,71,IA071,8/4/04,2004,4.11,2414,33.07,114.375,3.943,19.28,low
Nine Eagles Lake,187208.2635,1956356.027,IA,IADNR_ISU,89,IA089,8/5/04,2004,3.2,501,18.26,24.526,4.072,4.246,low
Springbrook Lake,126530.2048,2086942.035,IA,IADNR_ISU,112,IA112,7/28/04,2004,45.6,2474,55.86,5.39,2.503,6.578,low
Volga Lake,342988.0502,2219137.534,IA,IADNR_ISU,124,IA124,8/10/04,2004,48,4316,64.03,53.584,3.228,24.094,low
Belas Lake,831681.6618,2148356.295,MI,MI_STORET,14_154,MI14_154,9/23/81,1981,1.7,1108,24,20.919,1.5,6.986,low
Walloon Lake,860725.8191,2525815.032,MI,MI_STORET,15_25,MI15_25,8/21/80,1980,0.88,355,6,1852.68,10.5,85.546,low
Lake George,883127.087,2380678.779,MI,MI_STORET,18_125,MI18_125,8/23/76,1976,5.3,642,9,52.359,2.8,9.226,low
Windover Lake,877638.5382,2380412.502,MI,MI_STORET,18_160,MI18_160,9/14/81,1981,3.4,507,10,27.567,4.5,1.91,low
Cranberry Lake,896766.5798,2393721.957,MI,MI_STORET,18_196,MI18_196,9/16/81,1981,3.1,743,18,65.898,2.4,3.408,low
Crooked Lake,877346.954,2368080.605,MI,MI_STORET,18_69,MI18_69,9/5/78,1978,3,653,19,116.227,4.9,13.77,low
Antoine Lake,618762.834,2564003.104,MI,MI_STORET,22_95,MI22_95,8/14/80,1980,3.9,483,11,300.261,3.6,7.177,low
Osterhout Lake,812841.8238,2202249.414,MI,MI_STORET,3_71,MI3_71,9/29/80,1980,4.2,665,20,69.551,1.7,2.713,low
Torch Lake,576106.1639,2708146.841,MI,MI_STORET,31_1178,MI31_1178,9/13/79,1979,0.5,562,53,971.341,17,195.446,low
Sunset Lake,573231.5579,2593936.103,MI,MI_STORET,36_355,MI36_355,8/12/81,1981,3.7,442,10,214.934,5,26.913,low
Iron Lake,568067.0624,2594937.518,MI,MI_STORET,36_384,MI36_384,8/11/81,1981,3.1,677,20,158.022,3,6.863,low
