lake,longitude_utm,latitude_utm,state,source,state_lake_id,epa_lake_id,date,year,CHL_ugL,TN_ugL,TP_ugL,Area_km2,Z_mean_m,Watershed_km2,AgUrb.prop
BASS LAKE,624001.0263,2486479.142,WI,WIDNRbaseline,521400,WI521400,9/3/02,2002,4.32,749,11,16.326,9.144,2.588,low
Arrowhead Lake (Sac),77731.13054,2144131.825,IA,IADNR_ISU,3,IA003,7/19/04,2004,7.1,605,17.93,12.906,2.781,1.284,high
Beeds Lake,224222.5304,2200280.05,IA,IADNR_ISU,8,IA008,8/9/04,2004,107.6,5058,102.94,39.089,2.641,82.452,high
Bob White Lake,217946.8283,1969859.864,IA,IADNR_ISU,13,IA013,8/5/04,2004,66.36,1364,375.52,36.96,1.639,13.986,high
Briggs Woods Lake,180335.1454,2161548.821,IA,IADNR_ISU,14,IA014,8/9/04,2004,45.44,12774,62.11,24.957,3.659,28.94,high
Central Park Lake,399033.9341,2133628.389,IA,IADNR_ISU,20,IA020,8/11/04,2004,42.24,1533,97.23,9.596,2.439,1.499,high
Cold Springs Lake,75894.20414,2032046.264,IA,IADNR_ISU,22,IA022,7/27/04,2004,34.84,1726,76.52,6.157,2.154,0.085,high
Dale Maffitt Reservoir,182753.1572,2058654.187,IA,IADNR_ISU,26,IA026,8/5/04,2004,4.51,399,17.28,84.376,8.023,2.844,high
DeSoto Bend Lake,-1390.594795,2054157.861,IA,IADNR_ISU,28,IA028,7/28/04,2004,75.12,1363,116.72,350.148,2.708,50.492,high
Diamond Lake,285330.7719,2069958.765,IA,IADNR_ISU,29,IA029,8/3/04,2004,64.62,1554,134.05,37.77,2.662,10.816,high
Easter Lake,201681.2323,2062536.608,IA,IADNR_ISU,34,IA034,8/2/04,2004,40.36,1797,52.61,68.018,3.414,25.77,high
Eldred Sherwood Lake,197777.1565,2218514.04,IA,IADNR_ISU,35,IA035,8/9/04,2004,45.06,10628,94.37,8.742,2.825,8.651,high
George Wyth Lake,294010.9555,2176319.512,IA,IADNR_ISU,38,IA038,8/10/04,2004,20.98,564,45.56,30.31,2.787,1.779,high
Hannen Lake,320203.9191,2102586.654,IA,IADNR_ISU,43,IA043,8/11/04,2004,27.88,1404,97.02,15.032,2.754,2.292,high
Hawthorn Lake (aka Barnes City Lake),293315.1117,2057911.234,IA,IADNR_ISU,44,IA044,8/3/04,2004,25.74,902,46.78,72.424,3.502,12.57,high
Lake Hendricks,278601.6117,2269621.709,IA,IADNR_ISU,56,IA056,8/10/04,2004,51.32,7886,76.18,19.443,2.353,4.711,high
Lake Iowa,316334.4959,2076489.464,IA,IADNR_ISU,58,IA058,8/3/04,2004,121.62,4104,101.66,33.867,3.544,5.241,high
Lake Keomah,287383.4079,2037182.565,IA,IADNR_ISU,59,IA059,8/3/04,2004,74.82,1659,173.59,32.227,3.071,7.587,high
Lake Meyer,330803.7895,2249319.442,IA,IADNR_ISU,62,IA062,8/10/04,2004,44.88,2438,73.62,13.278,3.537,6.031,high
Lake of the Hills,440529.7434,2069581.737,IA,IADNR_ISU,65,IA065,8/11/04,2004,35.66,1530,72.39,44.574,2.988,6.678,high
Lake of Three Fires,109591.517,1967171.888,IA,IADNR_ISU,66,IA066,7/27/04,2004,8.05,3393,116.69,39.1,2.516,14.649,high
Lake Sugema,334133.3034,1970517.802,IA,IADNR_ISU,70,IA070,8/4/04,2004,44.76,3064,57.41,250.709,3.618,43.126,high
Little River Watershed Lake,186074.3614,1973232.681,IA,IADNR_ISU,72,IA072,8/5/04,2004,109.94,1082,74.9,314.994,4.365,50.796,high
Moorehead Park Pond,42528.0392,2151146.612,IA,IADNR_ISU,86,IA086,7/19/04,2004,8.62,495,31.67,4.175,4.034,2.051,high
Pleasant Creek Lake,342704.9998,2131261.91,IA,IADNR_ISU,95,IA095,8/11/04,2004,12.95,823,54.48,163.737,4.959,8.335,high
Roberts Creek Lake,244463.3375,2050694.916,IA,IADNR_ISU,101,IA101,8/3/04,2004,19.91,2264,69.19,113.454,2.679,31.611,high
Rock Creek Lake,260112.3272,2086284.292,IA,IADNR_ISU,102,IA102,8/2/04,2004,26.26,3288,56.47,191.259,2.63,105.506,high
Rodgers Park Lake,321575.3406,2139577.892,IA,IADNR_ISU,103,IA103,8/11/04,2004,13.29,4589,79.96,8.605,2.208,8.211,high
Slip Bluff Lake,180164.6474,1962090.977,IA,IADNR_ISU,109,IA109,8/5/04,2004,8.72,447,22.99,6.514,3.856,0.972,high
Thayer Lake,161262.9242,2003059.379,IA,IADNR_ISU,115,IA115,7/26/04,2004,77.44,1735,155.79,5.022,1.955,1.998,high
Three Mile Lake,147227.6954,2009894.648,IA,IADNR_ISU,116,IA116,7/26/04,2004,26.81,1222,57.6,320.431,4.975,88.726,high
Union Grove Lake,268928.7175,2129955.851,IA,IADNR_ISU,120,IA120,8/11/04,2004,71.52,2352,163.45,42.868,1.869,27.658,high
Viking Lake,80427.91724,1996112.417,IA,IADNR_ISU,123,IA123,7/27/04,2004,35.8,1742,92.65,59.407,4.73,8.189,high
White Oak Lake,292842.6459,2034802.034,IA,IADNR_ISU,127,IA127,8/3/04,2004,20.86,1086,90.19,7.206,2.566,2.304,high
Williamson Pond,232077.0104,2013037.994,IA,IADNR_ISU,128,IA128,8/4/04,2004,28.56,1694,175.27,5.854,2.479,5.956,high
Morrison Lake,900705.3907,2160634.17,MI,MI_STORET,12_23,MI12_23,9/24/79,1979,16,936,22,117.1,6.1,429.651,high
South Lake,900766.054,2155213.935,MI,MI_STORET,12_55,MI12_55,9/24/79,1979,35,1717,69,63.882,1.3,345.329,high
Cary Lake,895417.4261,2151427.648,MI,MI_STORET,12_72,MI12_72,9/19/78,1978,4,1055,9,30.534,6.3,18.677,high
Matteson Lake,886695.8309,2153052.914,MI,MI_STORET,12_73,MI12_73,9/17/81,1981,2.3,758,25,126.049,4.6,44.518,high
Wabascon Lake,879817.086,2206982.959,MI,MI_STORET,13_144,MI13_144,9/2/80,1980,5.1,855,52,28.884,6,78.71,high
Prairie Lake,914982.3814,2203098.335,MI,MI_STORET,13_23,MI13_23,9/6/79,1979,7,771,16,35.855,4,78.141,high
Goguac Lake,881812.8266,2192831.337,MI,MI_STORET,13_359,MI13_359,9/15/82,1982,0.43,588,16,136.526,5.3,6.82,high
Lee Lake,890929.7417,2182084.717,MI,MI_STORET,13_487,MI13_487,9/13/77,1977,2.2,478,7,52.985,7.9,1.92,high
Warner Lake,896905.9698,2179305.038,MI,MI_STORET,13_537,MI13_537,9/6/79,1979,11,962,16,23.205,4.1,4.967,high
Duck Lake,915448.6434,2208224.467,MI,MI_STORET,13_9,MI13_9,9/17/81,1981,0.69,638,14,241.229,4,6.511,high
Harwood Lake,840768.8917,2148186.089,MI,MI_STORET,14_158,MI14_158,9/22/81,1981,2.2,502,13,47.663,7.2,18.538,high
Diamond Lake,824138.3507,2141886.246,MI,MI_STORET,14_223,MI14_223,9/28/81,1981,4.9,912,15,421.391,4.6,27.635,high
Donnell Lake,830948.7995,2144565.459,MI,MI_STORET,14_224,MI14_224,9/28/81,1981,5.4,867.9999,10,98.956,7.6,35.064,high
Stone Lake,820736.6576,2143401.246,MI,MI_STORET,14_252.1,MI14_252.1,9/29/81,1981,5.8,976,51,63.463,6.06,5.244,high
Birch Lake,834369.877,2141880.848,MI,MI_STORET,14_274,MI14_274,9/28/81,1981,2.6,395,12,114.134,12.3,15.089,high
Kearsley Reservoir,998674.5681,2294241.215,MI,MI_STORET,25_124,MI25_124,9/8/81,1981,0.79,2756,101,68.522,1.5,292.587,high
Boardman Lake,819264,2462291.865,MI,MI_STORET,28_187,MI28_187,8/28/80,1980,1,406,3,126.08,7.9,673.214,high
Big Lake,839966.6316,2218473.015,MI,MI_STORET,3_128,MI3_128,9/29/80,1980,4.2,648,21,61.341,3.9,3.316,high
Miner Lake,831134.1059,2219154.573,MI,MI_STORET,3_158,MI3_158,9/29/80,1980,1.8,761,14,132.826,7.2,10.4,high
Hutchins Lake,803759.5391,2217528.787,MI,MI_STORET,3_178,MI3_178,9/3/81,1981,2.3,558,11,153.479,3.2,6.091,high
Selkirk Lake,844247.5968,2225029.23,MI,MI_STORET,3_223,MI3_223,9/2/76,1976,23,731,21,37.236,3.6,6.597,high
Green Lake,845346.3588,2241237.604,MI,MI_DNR_ST,3_308,MI3_308,,2003,3.5,567,8,120.71,9.2,7.917,high
Base Line Lake,827918.8419,2202444.02,MI,MI_STORET,3_44,MI3_44,9/30/80,1980,22,1046,52,85.413,9.5,24.362,high
Eagle Lake,822072.7505,2202036.561,MI,MI_STORET,3_60,MI3_60,9/30/80,1980,4.2,467,17,88.05,6.5,1.708,high
Duck Lake,823977.5836,2202138.938,MI,MI_STORET,3_63,MI3_63,9/30/80,1980,9.1,1103,33,56.411,4.5,3.826,high
Round Lake,923106.4394,2154014.996,MI,MI_DNR_ST,30_276,MI30_276,,2002,6,562,11,31.454,6.2,8.577,high
Long Lake,921450.4234,2149839.956,MI,MI_DNR_ST,30_278,MI30_278,,2004,5.2,759,19,86.074,3.5,36.679,high
Morrison Lake,874712.3552,2256745.575,MI,MI_DNR_ST,34_21,MI34_21,,2003,25,1630,53,127.04,3.9,26.017,high
Stevenson Lake,894307.0179,2359935.645,MI,MI_DNR_ST,37_120,MI37_120,,2002,4,860,31,53.386,4.1,17.05,high
Grass Lake,963328.7478,2199705.888,MI,MI_STORET,38_134,MI38_134,9/15/81,1981,1.2,839,16,142.788,0.8,10.538,high
Clark Lake,956560.0584,2183319.328,MI,MI_STORET,38_518,MI38_518,9/15/81,1981,0.69,415,11,233.274,3.4,4.132,high
Round Lake,944770.1293,2178198.027,MI,MI_DNR_ST,38_568,MI38_568,,2003,3.2,595,7,61.306,2.4,0.702,high
Austin Lake,855700.6788,2177928.401,MI,MI_STORET,39_263,MI39_263,9/24/80,1980,8.4,767,19,445.737,1.3,40.602,high
Eagle Lake,841356.1663,2180309.523,MI,MI_STORET,39_275,MI39_275,9/8/81,1981,1.5,576,11,78.557,1.524,4.531,high
Big Pine Island Lake,859423.2367,2281956.589,MI,MI_STORET,41_278,MI41_278,9/2/80,1980,7,515,18,78.697,4.6,4.087,high
Big Myers Lake,848998.9794,2284874.418,MI,MI_STORET,41_498,MI41_498,8/30/76,1976,8.2,859,26,35.87,3.7,0.271,high
Camp Lake,834248.5477,2287835.063,MI,MI_DNR_ST,41_516,MI41_516,,2003,11,965,18,54.52,7.5,3.462,high
Bass Lake,860295.7764,2300592.515,MI,MI_STORET,41_573,MI41_573,9/3/80,1980,5.1,618,60,76.122,2.3,3.968,high
Allen Lake,968744.9719,2177698.328,MI,MI_STORET,46_56,MI46_56,9/26/78,1978,2,589,11,25.533,5.7,2.717,high
Clear Lake,849849.2449,2345964.318,MI,MI_STORET,54_173,MI54_173,8/25/81,1981,1.2,819,16,50.05,3.1,1.337,high
Dickerson Lake,872688.3835,2305493.822,MI,MI_STORET,59_182,MI59_182,8/31/76,1976,5.4,697,12,91.47,5.9,15.762,high
Clifford Lake,870711.7894,2306748.829,MI,MI_STORET,59_295,MI59_295,8/31/76,1976,5.1,717,11,78.823,4.7,2.83,high
Winfield Lake,855496.0689,2313501.995,MI,MI_STORET,59_335,MI59_335,9/2/87,1987,8,1150,17,47.975,5.2,35.531,high
Muskellunge Lake,858061.5001,2305415.055,MI,MI_STORET,59_361,MI59_361,9/18/78,1978,11,593,16,55.472,5.6,15.116,high
Tamarack Lake,862745.1285,2320870.426,MI,MI_STORET,59_448,MI59_448,8/26/81,1981,3.4,1416,57,127.675,1.5,2.826,high
Half Moon Lake,821704.9323,2295405.218,MI,MI_DNR_ST,61_20,MI61_20,,2003,13,962,16,25.763,6.9,3.179,high
Bear Lake,783777.8359,2291397.482,MI,MI_STORET,61_54,MI61_54,9/2/81,1981,17,1238,51,161.363,2.2,72.454,high
Mona Lake,786613.19,2283152.046,MI,MI_STORET,61_7,MI61_7,9/2/81,1981,12,1542,155,267.413,4,191.634,high
Fremont Lake,806699.5756,2315654.076,MI,MI_STORET,62_128,MI62_128,9/21/82,1982,12,755,23,333.756,9.9,40.223,high
Lake Orion,1033595.166,2267171.879,MI,MI_STORET,63_1221,MI63_1221,9/9/81,1981,0.85,671,18,184.522,5,96.259,high
Wolverine Lake,1018139.087,2239857.609,MI,MI_STORET,63_299,MI63_299,9/10/81,1981,1.5,634,27,108.529,2.3,8.762,high
Oakland Lake,1026187.135,2256806.375,MI,MI_STORET,63_846,MI63_846,9/13/76,1976,5.3,564,17,122.544,3.4,175.407,high
Crescent Lake,1025061.709,2250366.846,MI,MI_DNR_ST,63_918,MI63_918,,2004,1.9,652,13,36.422,4,1.822,high
Crockery Lake,819307.6256,2285266.158,MI,MI_STORET,70_164,MI70_164,8/31/81,1981,3.7,649,36,41.972,7.5,9.761,high
Fish Lake,865305.7279,2145090.007,MI,MI_STORET,78_142,MI78_142,9/19/78,1978,3,512,10,59.447,7.4,9.44,high
Omena Lake,870368.7867,2140742.86,MI,MI_STORET,78_147,MI78_147,9/30/80,1980,2.6,809,15,49.646,5.5,5.559,high
Fishers Lake,856001.6669,2157171.772,MI,MI_STORET,78_29,MI78_29,9/13/77,1977,5.1,367,8,133.58,4,4.911,high
Long Lake,876040.4325,2150638.473,MI,MI_STORET,78_46,MI78_46,9/26/88,1988,14,893.9999,44,90.584,4.2,193.868,high
Pleasant Lake,845845.2142,2152156.635,MI,MI_STORET,78_94,MI78_94,9/22/81,1981,1.9,438,12,103.646,5.9,17.323,high
Crooked Lake,861561.5502,2212470.875,MI,MI_DNR_ST,8_141,MI8_141,,2004,5.8,553,14,436.196,2.2,26.972,high
Pine Lake,853780.1834,2212406.022,MI,MI_STORET,8_192,MI8_192,9/5/79,1979,3,575,10,247.511,3.6,5.648,high
Bristol Lake,876737.2947,2215374.421,MI,MI_DNR_ST,8_55,MI8_55,,2002,5,384,12,56.76,6.2,32.101,high
Clear Lake,874690.4627,2217182.909,MI,MI_STORET,8_57,MI8_57,9/4/79,1979,3.2,874,9,75.576,2,7.689,high
Fine Lake,873543.0311,2209819.838,MI,MI_STORET,8_84,MI8_84,9/4/79,1979,7.7,662,15,131.059,2.9,8.065,high
Clear Lake,831169.96,2201475.135,MI,MI_STORET,80_1,MI80_1,9/9/81,1981,1.6,790,20,28.191,7.5,22.021,high
Van Auken Lake,803090.4811,2180780.303,MI,MI_STORET,80_196,MI80_196,9/10/81,1981,2.6,708,15,102.175,6.7,2.129,high
Ackley Lake,828292.5985,2180767.733,MI,MI_STORET,80_209,MI80_209,9/8/81,1981,6.5,935,20,25.525,1.7,7.062,high
Maple Lake,827350.459,2180575.655,MI,MI_STORET,80_220,MI80_220,9/8/81,1981,10,934,28,75.847,2.2,245.5,high
Threemile Lake,822740.3326,2175052.444,MI,MI_STORET,80_233,MI80_233,9/8/81,1981,2.8,632,13,104.598,3.1,4.083,high
Reynolds Lake,818860.6563,2175891.074,MI,MI_STORET,80_243,MI80_243,9/8/81,1981,3.7,562,11,56.133,4.6,1.665,high
Shafer Lake,810514.6611,2174489.271,MI,MI_STORET,80_247,MI80_247,9/13/77,1977,5.8,348,8,29.206,10.3,3.362,high
Huzzy Lake,834324.022,2170578.038,MI,MI_STORET,80_258,MI80_258,9/22/81,1981,2.8,563,15,39.392,4.6,2.229,high
Cedar Lake,833662.5673,2165303.731,MI,MI_STORET,80_273,MI80_273,9/8/76,1976,3.6,762,32,111.234,7.3,4.776,high
Gravel Lake,831072.9869,2163879.502,MI,MI_STORET,80_281,MI80_281,9/22/81,1981,1.2,431,12,120.305,5.6,8.407,high
Round Lake,803031.0994,2161349.099,MI,MI_STORET,80_318,MI80_318,9/13/77,1977,52,1073,32,83.096,2.3,1.487,high
Magician Lake,806883.5698,2160153.157,MI,MI_STORET,80_320,MI80_320,9/22/81,1981,1.4,478,12,209.873,3.87,7.353,high
Lake Eleven,815493.8636,2198155.492,MI,MI_STORET,80_70,MI80_70,9/9/81,1981,2.2,754,18,21.832,5.3,3.015,high
BIG CEDAR LAKE,623092.4143,2290252.244,WI,WIDNRbaseline,25300,WI25300,8/21/03,2003,7.68,490,13,379.188,10.363,25.881,high
FENNER LAKE,512186.0617,2336397.686,WI,WIDNRbaseline,103400,WI103400,8/26/03,2003,3.16,600,21,16.569,1.524,7.764,high
SPENCER LAKE,548341.502,2386585.505,WI,WIDNRbaseline,255000,WI255000,9/13/04,2004,1.58,785,8,28.194,9.144,5.176,high
SCHOOL SECTION LAKE,559947.4027,2416426.102,WI,WIDNRbaseline,283600,WI283600,9/13/04,2004,12.5,1150,32,15.593,8.534,7.764,high
MARION MILLPOND,561014.1558,2430276.515,WI,WIDNRbaseline,294500,WI294500,9/13/04,2004,3.64,620,25,46.825,1.524,49.174,high
UPPER RED LAKE,567565.5735,2451721.881,WI,WIDNROther,329900,WI329900,8/15/00,2000,6,799,36,79.099,1.829,380.448,high
SANDSTONE FLOWAGE,620560.9721,2496927.226,WI,WIDNRbaseline,531300,WI531300,9/2/03,2003,15.3,430,24,51.01,3.048,1734.015,high
EAGLE LAKE,640562.7545,2215882.769,WI,WIDNROther,759800,WI759800,8/31/00,2000,59,2106,91,214.215,1.829,18.117,high
PEWAUKEE LAKE,622443.2115,2255850.49,WI,WIDNRbaseline,772000,WI772000,8/18/03,2003,14.3,700,23,986.307,4.572,51.762,high
DELAVAN LAKE,601609.4401,2201073.796,WI,WIDNRbaseline,793600,WI793600,7/30/02,2002,8.33,760,31,726.645,6.401,90.583,high
LOWER SPRING LAKE,602648.4864,2232804.613,WI,WIDNROther,820800,WI820800,8/28/00,2000,6,660,23,42.38,1.219,95.759,high
NAGAWICKA LAKE,615776.908,2256075.789,WI,WIDNRbaseline,828000,WI828000,7/31/02,2002,3.38,1453,14,396.973,10.973,119.052,high
OCONOMOWOC LAKE,609675.5843,2257833.414,WI,WIDNRbaseline,849600,WI849600,8/20/03,2003,2.62,560,10,328.71,9.754,225.163,high
MCDILL POND,511403.1391,2407167.228,WI,WIDNRbaseline,1403200,WI1403200,8/31/00,2000,4,1720,19,96.487,1.524,421.857,high
TAINTER LAKE,326064.6729,2450741.099,WI,WIDNROther,2068000,WI2068000,9/9/03,2003,63.1,2190,155,561.385,4.267,4340.213,high
LAKE HALLIE,359230.7862,2440614.149,WI,WIDNRbaseline,2150200,WI2150200,8/3/04,2004,2.63,1160,31,31.823,1.829,2.588,high
Ladysmith Flowage,383472.6261,2507549.548,WI,WIDNRbaseline,2228700,WI2228700,9/1/04,2004,2.75,735,22,68.99,2.438,4624.902,high
BIG BLAKE LAKE,286985.4218,2506337.261,WI,WIDNROther,2627000,WI2627000,8/23/00,2000,43,960,68,84.215,2.743,54.35,high
BIG TRADE LAKE,263623.4677,2524895.458,WI,WIDNROther,2638700,WI2638700,8/23/00,2000,15,970,36,132.457,4.572,147.521,high
Nawakwa Lake,770219.5032,2657125.611,MI,MI_STORET,2_514,MI2_514,8/28/75,1975,19.4,664,32,178.923,3,19.377,low
Camp 7 Lake,730990.9116,2599568.627,MI,MI_STORET,21_264,MI21_264,8/27/75,1975,3.9,518,7,20.964,5,0.684,low
Rock Lake,626055.6041,2573552.073,MI,MI_STORET,22_381,MI22_381,8/26/75,1975,4.8,642,14,35.072,3.6,1.545,low
McDonald Lake,461984.147,2613337.549,MI,MI_STORET,27_1026,MI27_1026,8/13/80,1980,10,1230,37,187.526,1,62.979,low
Little Oxbow Lake,488915.6285,2601691.978,MI,MI_STORET,27_858,MI27_858,8/9/81,1981,1.3,611,21,39.313,4.9,3.515,low
Londo Lake,961847.0824,2434485.61,MI,MI_DNR_ST,35_104,MI35_104,,2003,3.3,2030,29,72.843,1.8,2.903,low
West Londo Lake,961062.1973,2435166.193,MI,MI_STORET,35_105,MI35_105,8/27/80,1980,3.7,938,11,79.738,2.1,1.177,low
Loud Dam Pond,969980.051,2447751.018,MI,MI_STORET,35_199,MI35_199,8/26/80,1980,1.3,235,10,240.81,4.3,4230.629,low
Round Lake,978425.3761,2435728.136,MI,MI_DNR_ST,35_4,MI35_4,,2002,4,820,20,36.313,1.5,18.229,low
Long Lake,962138.6627,2442054.238,MI,MI_DNR_ST,35_96,MI35_96,,2003,3.8,556,1,196.319,5,4.857,low
Emily Lake,580069.3339,2592300.593,MI,MI_DNR_ST,36_363,MI36_363,,2002,9,586,38,131.898,3.4,58.344,low
Sugarloaf Lake,849379.3822,2175267.855,MI,MI_STORET,39_267,MI39_267,9/24/80,1980,1.6,810,15,59.166,3.3,20.45,low
Fanny Hooe Lake,616490.9906,2745426.158,MI,MI_STORET,42_146,MI42_146,8/25/75,1975,2.28,342,16,93.176,6.4,40.045,low
Lac La Belle,607259.4571,2735026.049,MI,MI_STORET,42_33,MI42_33,8/30/78,1978,1,422,12,487.739,6.5,100.118,low
Pike Lake,811882.2448,2673435.211,MI,MI_STORET,48_480,MI48_480,8/28/78,1978,4,440,10,117.21,4.7,23.352,low
Bodi Lake,817424.2099,2679829.264,MI,MI_STORET,48_681,MI48_681,8/21/77,1977,6.9,364,20,118.582,3.5,8.641,low
Lake Skegemog,841383.8095,2471386.472,MI,MI_STORET,5_1,MI5_1,8/20/75,1975,1.6,299,8,1118.412,3.4,1146.35,low
Lake Bellaire,846692.5084,2488450.899,MI,MI_STORET,5_50,MI5_50,8/20/75,1975,2,363,12,723.728,12.7,413.392,low
Clam Lake,845344.6587,2485936.536,MI,MI_STORET,5_55,MI5_55,8/17/81,1981,1.6,336,7,176.958,4,492.488,low
Ben-way Lake,842910.7095,2504181.365,MI,MI_STORET,5_94,MI5_94,9/11/78,1978,6.8,437,14,51.389,4.6,178.689,low
Little Lake,667208.1862,2618024.587,MI,MI_STORET,52_182,MI52_182,8/10/80,1980,1.5,308,10,186.053,4.2,2.107,low
Johnson Lake,661878.7528,2616285.71,MI,MI_STORET,52_255,MI52_255,8/10/80,1980,0.78,271,3,31.691,5.9,0.466,low
Anderson Lake,656803.3611,2610666.255,MI,MI_STORET,52_91,MI52_91,8/10/80,1980,7.9,363,11,20.772,2.4,0.685,low
Long Lake,638131.3547,2519819.18,MI,MI_STORET,55_31,MI55_31,8/24/77,1977,4.3,514,13,28.669,3,137.047,low
Lake Fifteen,928642.8579,2502032.409,MI,MI_STORET,60_93,MI60_93,8/31/77,1977,3.2,211,3,36.518,9.4,105.465,low
Grousehaven Lake,949094.1295,2440132.828,MI,MI_STORET,65_123,MI65_123,9/6/78,1978,2,479,5,35.011,6.7,0.665,low
DeVoe Lake,948766.6391,2438815.327,MI,MI_STORET,65_133,MI65_133,9/6/78,1978,2.3,452,8,47.621,6.2,62.678,low
Sage Lake,955978.0273,2433659.957,MI,MI_STORET,65_161,MI65_161,8/18/75,1975,5.2,514,12,318.483,5.8,48.655,low
Au Sable Lake,956689.3156,2443152.028,MI,MI_STORET,65_200,MI65_200,8/27/80,1980,4.2,516,5,108.336,4,35.299,low
Hardwood Lake,953411.6176,2422009.036,MI,MI_STORET,65_60,MI65_60,8/26/76,1976,23,1238,39,72.182,3.4,18.456,low
Ruth Lake,598136.4959,2643169.631,MI,MI_STORET,7_160,MI7_160,8/25/75,1975,3.1,778,15,80.489,3.4,41.633,low
Big Lake,570044.1926,2646735.377,MI,MI_STORET,7_540,MI7_540,8/25/75,1975,2.8,414,9,48.061,1.3,3.13,low
Lake Nettie,938579.7676,2538348.322,MI,MI_DNR_ST,71_112,MI71_112,,2004,1.1,826,10,120.162,3.7,101.761,low
Sunken Lake,961378.4219,2531522.44,MI,MI_STORET,71_75,MI71_75,8/19/80,1980,5.1,596,21,28.947,3.4,334.081,low
Ross Lake,748962.7304,2648407.145,MI,MI_DNR_ST,75_1054,MI75_1054,,2004,2.9,288,3.9,78.8,3,22.129,low
Gulliver Lake,772273.1145,2595462.541,MI,MI_DNR_ST,75_47,MI75_47,,2004,4.2,413,6,356.149,3.5,15.149,low
Fish Lake,855352.6341,2219324.755,MI,MI_STORET,8_426,MI8_426,9/21/78,1978,4.5,484,5,61.255,9,34.594,low
RANDALL LAKE,463101.5963,2574546.496,WI,WIDNRbaseline,2318500,WI2318500,9/13/04,2004,9.21,690,27,46.714,2.438,10.352,low
MEDER LAKE,413399.1624,2599034.454,WI,WIDNRbaseline,2935300,WI2935300,9/8/04,2004,5.49,610,20,54.77,2.134,5.176,low
Indian Lake,356125.9584,1965523.121,IA,IADNR_ISU,47,IA047,8/4/04,2004,96.96,3952,313.11,20.812,1.583,1.397,low
Kent Park Lake,352472.2188,2088109.883,IA,IADNR_ISU,49,IA049,8/11/04,2004,38.28,2005,172.64,10.761,2.294,2.705,low
Lake Macbride,366827.66,2096549.667,IA,IADNR_ISU,61,IA061,8/11/04,2004,29.5,1691,42.67,287.684,4.81,65.41,low
Lower Pine Lake,239503.4862,2155835.755,IA,IADNR_ISU,79,IA079,8/9/04,2004,93.73,3689,155.15,24.225,1.837,3.818,low
Poll Miller Park Lake,382024.6798,1976033.443,IA,IADNR_ISU,96,IA096,8/4/04,2004,31.92,1268,40.22,7.12,3.707,1.028,low
Rathbun Reservoir,251240.9995,1988069.554,IA,IADNR_ISU,98,IA098,8/5/04,2004,31.22,786,44.22,4872.491,6.324,1421.903,low
Red Haw Lake,227432.4137,2001547.384,IA,IADNR_ISU,99,IA099,8/4/04,2004,27.26,1218,35.32,30.639,4.437,3.832,low
Red Rock Reservoir,239964.9407,2044036.25,IA,IADNR_ISU,100,IA100,8/3/04,2004,13.18,8905,127.81,6039.057,5.34,31079.856,low
Saylorville Reservoir,187667.5425,2085300.266,IA,IADNR_ISU,104,IA104,8/2/04,2004,16.57,9517,138.65,1975.025,4.738,15081.5,low
Upper Pine Lake,240445.289,2157121.069,IA,IADNR_ISU,122,IA122,8/9/04,2004,49.31,5844,101.18,29.446,2.211,35.167,low
Jewell Lake,977722.2776,2473858.387,MI,MI_DNR_ST,1_99,MI1_99,,2002,3,631,8,74.691,1.8,2.336,low
Upper Herring Lake,776734.2921,2436988.39,MI,MI_DNR_ST,10_19,MI10_19,,2004,3.3,382,10,231.699,4.6,44.956,low
Lake of the Woods,901447.0339,2146207.255,MI,MI_STORET,12_89,MI12_89,9/16/86,1986,3.3,819.9999,4,135.182,5.9,27.693,low
Upper Brace Lake,904397.6577,2189018.271,MI,MI_STORET,13_413,MI13_413,9/6/79,1979,3,708,8,28.678,5.8,5.452,low
Paradise Lake,829947.9664,2142698.779,MI,MI_STORET,14_299,MI14_299,9/28/81,1981,3.7,592,12,75.215,7.3,43.319,low
Twin Lakes,816899.7998,2157494.687,MI,MI_STORET,14_75,MI14_75,9/23/81,1981,0.89,656,11,24.695,5.2,0.863,low
Lake Charlevoix,850670.1051,2512982.167,MI,MI_STORET,15_21,MI15_21,8/30/77,1977,2.2,375,17,6987.534,18,784.811,low
Susan Lake,845932.1317,2529266.765,MI,MI_STORET,15_56,MI15_56,8/21/80,1980,2.8,680,11,50.832,1.8,19.374,low
Lancaster Lake,878924.9636,2567058.424,MI,MI_STORET,16_250,MI16_250,8/19/80,1980,0.49,604,13,20.512,8.2,16.381,low
Five Lakes,894210.7178,2372720.861,MI,MI_DNR_ST,18_6,MI18_6,,2004,3.9,479,14,48.091,3.2,5.474,low
Boney Falls Dam,676500.3377,2586497.599,MI,MI_STORET,21_257,MI21_257,8/8/81,1981,1.3,816,20,73.379,3,1948.278,low
Mary Lake,636151.9146,2556633.521,MI,MI_STORET,22_14,MI22_14,8/26/75,1975,3.1,536,9,35.333,6.5,42.13,low
Crooked Lake,872426.3752,2542487.715,MI,MI_STORET,24_27,MI24_27,8/20/80,1980,0.79,338,6,953.423,3,297.122,low
Pickerel Lake,877090.3648,2541768.989,MI,MI_STORET,24_31,MI24_31,8/20/80,1980,1.6,357,4,436.038,3.1,151.579,low
